University,Program,Decision Category,Research Degree Claim,Funding Claim,Academic Eligibility Claim,International Eligibility Claim,Program Fit Claim,Source URL,Source Type,Information Cycle,Access Date,Verification Status,Uncertainty,Official Program URL,Official Funding URL,Admissions URL,Fit URL
University of Utah,Computing PhD,Recommended,"Research-focused PhD, typically five years, culminating in dissertation work","Computing PhD students receive financial support while in the program and making good progress; current rates include fall and spring pay, possible summer RA support, tuition benefit, and health insurance.",Yes — PhD assumes completed undergraduate education in computer science or a related field Minimum: Not verified on the captured school pages,Yes — dedicated international application fee and TA rules are published,"Strong overlap with TerraProbe's repair validation and minimized failure evidence through compiler testing, synthesis-based optimization, verification, and reduction tools.",https://www.cs.utah.edu/graduate/prospective-students/admissions/graduate-financial-support-and-costs/,Official university/department page,Official page displays an inconsistent year; use the earlier planning date and confirm,2026-09-11,Claim text manually compared with current official source,Confirm the displayed deadline year and offer-specific differential-fee treatment.,https://www.cs.utah.edu/graduate/academic-programs/ms-and-phd-programs/,https://www.cs.utah.edu/graduate/prospective-students/admissions/graduate-financial-support-and-costs/,https://www.cs.utah.edu/graduate/academic-programs/graduate-academic-program-overview/,https://users.cs.utah.edu/~regehr/
North Carolina State University at Raleigh,Computer Science PhD,Recommended,Yes — original dissertation and defense required,"Every fall PhD admit who requests aid receives a four-year package with tuition, individual health insurance, and stipend; student fees and most summers are excluded.",Yes — 72-credit route beyond a bachelor's degree Minimum: 3.0/4.0 typical Graduate School baseline,Yes — international applicants are eligible for fall admission,Strong fit for evaluating how developers use and validate AI-generated repairs.,https://csc.ncsu.edu/academics/graduate/financial-aid-and-cost/,Official university/department page,Recurring Fall priority date; Fall 2027 label not explicit,2026-09-11,Claim text manually compared with current official source,Budget for fees and summers and verify year-five support before acceptance.,https://csc.ncsu.edu/academics/graduate/phd/,https://csc.ncsu.edu/academics/graduate/financial-aid-and-cost/,https://csc.ncsu.edu/academics/graduate/phd/,https://csc.ncsu.edu/people/ktstolee/
Vanderbilt University,Computer Science PhD,Recommended,Yes — original dissertation and defense required,"Computer Science PhD students receive a competitive stipend, full tuition waiver, and health insurance through RA or TA appointments.",Yes — undergraduate transcripts and bachelor's/equivalent pathway are supported Minimum: No hard program minimum stated,Yes — international English and waiver processes are published,"Excellent fit for secure, dependable software and evidence-rich evaluation of developer tooling.",https://computing.vanderbilt.edu/csphd/,Official university/department page,"Fall 2027 waiver deadline; final deadline December 15, 2026",2026-09-11,Claim text manually compared with current official source,None before applying; review duration and summer terms if admitted.,https://computing.vanderbilt.edu/csphd/,https://computing.vanderbilt.edu/csphd/,https://computing.vanderbilt.edu/csphd/,https://computing.vanderbilt.edu/bio/kevin-leach/
Boston University,PhD in Computer Science,Recommended,Advanced breadth and specialization requirements followed by original dissertation research,"Charles River Campus PhD students in good standing are guaranteed five years of 12-month stipend support, full tuition and required fees, and a health-insurance credit; international students are included.",Yes — a completed bachelor's is sufficient; no master's prerequisite is published Minimum: No numeric CS PhD minimum published on the current program page,Yes — international GRS PhD students are eligible and full-time PhD students receive fellowship aid,"Strong overlap with TerraProbe repair validation and Evidex correctness evidence through refinement and session types, formal verification, program analysis, and dependable distributed software.",https://www.bu.edu/cas/admissions/phd-mfa/fellowship-aid/aid-for-phd-students/,Official university/department page,Fall 2027,2026-09-11,Claim text manually compared with current official source,None before applying; compare the offer stipend with actual Boston living costs.,https://www.bu.edu/cs/phd-program/,https://www.bu.edu/cas/admissions/phd-mfa/fellowship-aid/aid-for-phd-students/,https://www.bu.edu/cs/phd-program/admissions/,https://www.bu.edu/cs/profiles/ankush-das/
Carnegie Mellon University,Software Engineering PhD,Recommended,Yes — original dissertation and defense required,The Software Engineering PhD advertises guaranteed research and teaching assistantships covering tuition and living expenses.,Yes — SCS accepts applicants holding a bachelor's degree or equivalent Minimum: No hard program minimum located,Yes — international applicants are explicitly covered by SCS graduate admissions,Direct fit with TerraProbe's repair/evaluation work and reliable AI-assisted software development.,https://se-phd.isri.cmu.edu/Prospective%20Students/index.html,Official university/department page,"Fall 2027 early-fee deadline; final deadline December 9, 2026",2026-09-11,Claim text manually compared with current official source,None before applying; request a hardship waiver in the application if needed.,https://se-phd.isri.cmu.edu/,https://se-phd.isri.cmu.edu/Prospective%20Students/index.html,https://www.cs.cmu.edu/education/graduate-admissions,https://s3d.cmu.edu/people/core-faculty/legoues-claire.html
University of Illinois Chicago,PhD in Computer Science,Conditional,"Doctoral coursework, preliminary examination, dissertation research, and defense",The department guarantees a funded appointment for the first five years of the PhD,Yes — bachelor's in computer science or a closely related field Minimum: 3.50/4.00 for the final 60 semester hours,Yes — international applicants are accepted,"Strong overlap with TerraProbe and Evidex through proof-driven reliable software, program generation and analysis, software quality assurance, reproducibility, and evidence-centered system validation.",https://cs.uic.edu/graduate/admissions/phd/,Official university/department page,Latest program schedule; Fall 2027 year not explicitly printed,2026-09-11,Conditional; one decision-changing question remains,"Does Mitch's exact final-60-semester-hour GPA meet UIC's 3.50 requirement, and will the Fall 2027 fee reduction recur?",https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,https://cs.uic.edu/graduate/admissions/phd/,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,https://cs.uic.edu/profiles/mark-grechanik/
William & Mary,Computer Science PhD,Conditional,Yes — original dissertation and defense required,All admitted full-time PhD and MS/PhD students receive a stipend and full tuition waiver,Yes — master's degree is not required for the PhD Minimum: No hard program minimum verified,Yes — international deadlines and visa considerations are stated,Exceptional fit for empirical evaluation of AI-generated repairs and code provenance.,https://cdsp.wm.edu/admissions/graduate/,Official university/department page,"Current page lists February 15 funding priority, March 15 international/visa, June 1 other; Fall 2027 not explicitly labeled",2026-09-11,Conditional; one decision-changing question remains,"Does every Fall 2027 Computer Science PhD admit receive a multi-year stipend and full tuition waiver, or can admission be offered without support?",https://cdsp.wm.edu/admissions/graduate/computer-science/,https://cdsp.wm.edu/admissions/graduate/computer-science/,https://cdsp.wm.edu/admissions/graduate/computer-science/,https://www.cs.wm.edu/~dposhyvanyk/index.html
Rensselaer Polytechnic Institute,Ph.D. in Computer Science,Conditional,"Core and research qualifying exams, candidacy exam, original research, dissertation, and defense",Most CS graduate students receive tuition-and-stipend support that the department describes as guaranteed for the PhD duration,Yes; the doctorate accepts students with or without an MS Minimum: No numeric department minimum published on the program page checked,"Yes, subject to credential and English requirements","Strong TerraProbe overlap through formal verification of adaptive distributed systems, software verification, and cloud-to-edge middleware with explicit safety guarantees.",https://compsci.rpi.edu/programs/phd-computer-science,Official university/department page,Current program page checked 2026-09-11; Fall 2027 cycle must be reconfirmed,2026-09-11,Conditional; one decision-changing question remains,Is full tuition-and-stipend support guaranteed to every Fall 2027 Computer Science PhD admit for the full degree?,https://compsci.rpi.edu/programs/phd-computer-science,https://compsci.rpi.edu/programs/phd-computer-science,https://compsci.rpi.edu/programs/phd-computer-science,https://faculty.rpi.edu/carlos-varela
McMaster University,Master of Applied Science in Software Engineering,Conditional,Research-intensive master's with supervised thesis,The department states that full-time MASc and MSc students receive funding,"Yes — a four-year honours degree in engineering, science, or an equivalent computing field is accepted Minimum: B+ minimum, described as approximately 77–79%","Yes — international deadline, fee, and English rules are published","Strong TerraProbe and Evidex overlap through automated model transformations, safety and security assurance, software certification evidence, testing, and model-driven development for critical systems.",https://www.eng.mcmaster.ca/app/uploads/2024/03/Application_FAQ_Graduate_Computing-and-Software.pdf,Official university/department page,Latest department information checked 2026-09-11; Fall 2027 is not explicitly labeled,2026-09-11,Conditional; one decision-changing question remains,What two-year package would a willing supervisor guarantee after international tuition and supplementary fees?,https://www.eng.mcmaster.ca/cas/degree-options/software-engineering-masc/,https://www.eng.mcmaster.ca/app/uploads/2024/03/Application_FAQ_Graduate_Computing-and-Software.pdf,https://www.eng.mcmaster.ca/cas/degree-options/software-engineering-masc/,https://www.eng.mcmaster.ca/cas/faculty/dr-richard-paige/
Simon Fraser University,Master of Applied Science in Engineering Science,Conditional,"Coursework, supervised exploratory research, thesis, and defense",School states that it provides support to thesis MASc students and that research funding lasts two years,Yes; relevant bachelor's degree or equivalent with required academic standing Minimum: 3.0 cumulative GPA or equivalent published in the official program framework,"Yes, subject to credential and English requirements","Strong TerraProbe overlap through software-defined acceleration, compiler and runtime tooling, datacenter-scale systems, and systematic performance and reliability evaluation across the computing stack.",https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,Official university/department page,Current pages checked 2026-09-11; Fall 2027 cycle unresolved,2026-09-11,Conditional; one decision-changing question remains,What minimum two-year funding and tuition offset will a willing supervisor commit for an international MASc student?,https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,https://www.sfu.ca/fas/schools/engineering-science/faculty/faculty-members/zhenman-fang.html
University of Calgary,PhD in Computer Science (without completed MSc),Conditional,"Coursework, single-authored scientific paper, candidacy exam, and dissertation","Guaranteed department minimum for four years; direct-from-bachelor expected time is five years, leaving a duration gap","Unclear — a five-year path without a completed MSc is described, but external direct admission from a bachelor's was not explicitly verified. Minimum: 3.0/4.0 over last two years (central/department minimum)",yes,Program-level fit remains adequate in the Pass 2 corpus.,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,Official university/department page,Official pages state recurring Fall deadlines but do not label calendar year 2027.,2026-09-11,Conditional; one decision-changing question remains,Will the department extend its four-year guaranteed minimum through the expected fifth year for a direct-from-bachelor PhD student?,https://science.ucalgary.ca/computer-science/future-students/graduate/thesis-programs/doctoral-thesis-based,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,
Trent University,MSc in Applied Modelling and Quantitative Methods — Thesis Stream,Conditional,Two-year research master's with supervisor-guided modelling research and thesis,"Eligible full-time research master's students are guaranteed a published package range, but international net sufficiency is unresolved",Yes — a four-year honours degree or equivalent with quantitative and programming preparation is accepted Minimum: B+ or 77 percent in the last two years,Yes — international equivalency and funding guidance are published,"Strong Evidex overlap through model validation, model exchange, differencing, conflict detection, and repository evidence; TerraProbe overlaps through cyber-physical and transit-system modelling.",https://www.trentu.ca/graduatestudies/funding-tuition/funding,Official university/department page,Recurring fall close date checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Conditional; one decision-changing question remains,What guaranteed two-year amount remains after international tuition and fees for this thesis-stream MSc?,https://www.trentu.ca/graduatestudies/program/applied-modelling-quantitative-methods-ma-or-msc/thesis-stream,https://www.trentu.ca/graduatestudies/funding-tuition/funding,https://www.trentu.ca/graduatestudies/program/applied-modelling-quantitative-methods-ma-or-msc/thesis-stream,https://www.trentu.ca/cois/faculty-research
Portland State University,Doctoral Degree in Computer Science (Ph.D.),Conditional,"Research proficiency examination, dissertation proposal, original dissertation research, and defense",Priority applicants may be considered for one year of guaranteed funding; multi-year support is not published,Yes; students may enter with a bachelor's or master's degree and adequate CS preparation Minimum: 3.0 undergraduate GPA,"Yes, subject to English and credential requirements","Strong TerraProbe overlap through automated software verification, concolic testing, compiler transformation validation, and current teaching on agentic software engineering.",https://web.cs.pdx.edu/phd-doctoral-degree-in-cs/,Official university/department page,2026-27 handbook recurring fall deadlines checked 2026-09-11; Fall 2027 confirmation required,2026-09-11,Conditional; one decision-changing question remains,"Will a Fall 2027 offer guarantee renewable support after year one, including adequate insurance and summer coverage?",https://web.cs.pdx.edu/phd-doctoral-degree-in-cs/,https://web.cs.pdx.edu/cs-graduate-student-handbook-2026-27/,https://web.cs.pdx.edu/phd-doctoral-degree-in-cs/,https://web.cecs.pdx.edu/xie/
