University,Program,Program ID,Contradiction Direction,Stage 3 Funding Gate,Stage 5 Funding Gate,Pass 2.1 Funding Decision,Exact Reviewed Claim,Decision Rationale,Official Funding URL,Information Cycle,Access Date,Verification Status
Emory University,Doctor of Philosophy in Computer Science and Informatics,us:ipeds:139658:program:phd:phd-in-computer-science-and-informatics,Stage 3 pass → Stage 5 fail,pass,false,Pass,Official program pages state that admitted CSI PhD students receive full tuition and a competitive stipend,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://computerscience.emory.edu/graduate-phd/admissions/index.html,Latest labeled Fall 2026 cycle checked 2026-09-11; Fall 2027 requires reconfirmation,2026-09-11,Manual claim-level review; no keyword classification
Michigan Technological University,"Computer Science, PhD",us:ipeds:171128:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Credible official doctoral route with full tuition and a published minimum stipend, although an individual appointment is not guaranteed","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.mtu.edu/gradschool/financial/assistantships/,Current recurring program dates checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Manual claim-level review; no keyword classification
University of Cincinnati-Main Campus,Doctor of Philosophy in Computer Science and Engineering,us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Credible program-level first-year doctoral support; later-year offer terms remain unresolved,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.ceas.uc.edu/admissions/graduate/faqs.html,"Current CEAS guidance checked 2026-09-10; Fall 2027 GRE rules explicit, deadline recurring",2026-09-11,Manual claim-level review; no keyword classification
University of Delaware,Ph.D. in Computer Science,us:ipeds:130943:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,"All or nearly all doctoral students receive a stipend and full tuition scholarship, while the department cautions that aid is competitive and not automatic","Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.udel.edu/academics/colleges/grad/prospective-students/programs/computer-science/,Latest current program page; calendar year not explicitly printed,2026-09-11,Manual claim-level review; no keyword classification
University of Florence,MSc in Software: Science and Technology,ror:04jr1s763:program:thesis-or-research-master-s:msc-in-software-science-and-technology,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Credible full-cost route with cash, meals, and housing if available; selection is competitive and document-dependent","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.dsu.toscana.it/borsa-di-studio,Latest 2026–27 cycle checked 2026-09-11; wait for 2027–28 call,2026-09-11,Manual claim-level review; no keyword classification
University of Illinois Urbana-Champaign,Computer Science PhD,us:ipeds:145637:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,Catalog describes five years of eligible appointments with stipend and tuition waiver,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://catalog.illinois.edu/graduate/engineering/computer-science-phd/,"Latest official CS page lists December 15, but the reviewed source did not label the Fall 2027 cycle",2026-09-11,Manual claim-level review; no keyword classification
Virginia Commonwealth University,Doctor of Philosophy in Computer Science,us:ipeds:234030:program:phd:doctor-of-philosophy-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,Doctoral applicants are automatically considered and current guidance states that admitted doctoral students are funded by a faculty advisor or program,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://egr.vcu.edu/future-students/international/,Current recurring international guidance checked 2026-09-10; Fall 2027 confirmation required,2026-09-11,Manual claim-level review; no keyword classification
Clarkson University,PhD in Computer Science,us:ipeds:190044:program:phd:phd-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,The PhD page states admitted doctoral students are eligible for full funding; the official memo specifies the assistantship floor and tuition scholarship,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.clarkson.edu/academics/majors-minors/computer-science-phd,Current recurring guidance checked 2026-09-11; reconfirm before applying,2026-09-11,Manual claim-level review; no keyword classification
McMaster University,Master of Applied Science in Software Engineering,ca:dli:O19395535729:program:thesis-or-research-master-s:software-engineering-masc,Stage 3 pass → Stage 5 fail,pass,false,Conditional,The department states that full-time MASc and MSc students receive funding,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.eng.mcmaster.ca/app/uploads/2024/03/Application_FAQ_Graduate_Computing-and-Software.pdf,Latest department information checked 2026-09-11; Fall 2027 is not explicitly labeled,2026-09-11,Manual claim-level review; no keyword classification
Simon Fraser University,Master of Applied Science in Engineering Science,ca:dli:O18781994282:program:thesis-or-research-master-s:master-of-applied-science-in-engineering-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,School states that it provides support to thesis MASc students and that research funding lasts two years,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.sfu.ca/fas/study/future-graduates/programs/master-applied-science.html,Current pages checked 2026-09-11; Fall 2027 cycle unresolved,2026-09-11,Manual claim-level review; no keyword classification
Temple University,Computer and Information Science PhD,us:ipeds:216339:program:phd:computer-and-information-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,The department says admitted PhD students are awarded RA or TA support and typically admits only when funding is available,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://bulletin.temple.edu/graduate/scd/cst/computer-information-science-phd/,Current bulletin and departmental FAQ conflict identified 2026-09-11; use the earlier date until Fall 2027 is published,2026-09-11,Manual claim-level review; no keyword classification
The University of Texas at San Antonio,Ph.D. in Computer Science,us:ipeds:229027:program:phd:phd-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,All full-time admitted Computer Science PhD students are welcomed with GTA or GRA support,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://future.utsa.edu/programs/doctoral/computer-science/,Explicit Fall 2027 cycle,2026-09-11,Manual claim-level review; no keyword classification
University of California-San Diego,Computer Science and Engineering PhD,us:ipeds:110680:program:phd:computer-science-and-engineering-phd,Stage 3 pass → Stage 5 fail,pass,false,Pass,All incoming PhD students receive first-year stipend plus full fees and nonresident tuition; later years are usually advisor GSR or fellowship funded,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://cse.ucsd.edu/graduate/financial-opportunities,"Fall 2027 current page, updated September 1, 2026",2026-09-11,Manual claim-level review; no keyword classification
University of Louisville,Doctor of Philosophy in Computer Science and Engineering,us:ipeds:157289:program:phd:doctor-of-philosophy-in-computer-science-and-engineering,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Qualified doctoral applicants may receive the fellowship and are automatically considered; the route is credible but no individual award is guaranteed,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://engineering.louisville.edu/graduatefunding/,Current catalog checked 2026-09-11; reconfirm Fall 2027 timing,2026-09-11,Manual claim-level review; no keyword classification
Boise State University,Doctor of Philosophy in Computing — Computer Science or Cybersecurity emphasis,us:ipeds:142115:program:phd:computing-phd-computer-science-or-cybersecurity-emphasis,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Credible official route exists, but awards are competitive and not guaranteed","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.boisestate.edu/computing/academics/doctoral-program/graduate-assistantships/,Current recurring deadlines checked 2026-09-10; target cycle must be reconfirmed,2026-09-11,Manual claim-level review; no keyword classification
Florida International University,Doctor of Philosophy in Computer Science,us:ipeds:133951:program:phd:doctor-of-philosophy-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Credible official route exists but the first-year award is limited to the most qualified applicants,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.cis.fiu.edu/degree/doctor-of-philosophy-in-computer-science/,Current recurring deadline and 2026 handbook checked 2026-09-10; target cycle must be reconfirmed,2026-09-11,Manual claim-level review; no keyword classification
University of South Florida,Doctor of Philosophy in Computer Science and Engineering,us:ipeds:137351:program:phd:ph-d-in-computer-science-and-engineering,Stage 3 pass → Stage 5 fail,pass,false,Pass,All incoming PhD students are offered assistantships according to the current department FAQ,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.usf.edu/ai-cybersecurity-computing/academics/application-faq.aspx,Current recurring dates checked 2026-09-10; target year not separately labeled,2026-09-11,Manual claim-level review; no keyword classification
University of Trento,Master's Degree in Computer Science,ror:05trd4x28:program:thesis-or-research-master-s:master-s-degree-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Credible official route exists but is limited, rank-dependent, and not confirmed","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.unitn.it/en/study/fees-scholarships-accommodation/scholarships-and-awards/scholarships-international-students,Latest published 2026-2027 call checked 2026-09-10; 2027-2028 call required,2026-09-11,Manual claim-level review; no keyword classification
University of Tulsa,"Computer Science, Ph.D.",us:ipeds:207971:program:phd:computer-science-ph-d,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Open to admitted full-time doctoral students and includes a published minimum stipend, full tuition, and health insurance; award is competitive","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://utulsa.edu/tuition-aid/graduate-financial-assistance/assistantships-fellowships/,Current recurring dates checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Manual claim-level review; no keyword classification
Florida Atlantic University,Doctor of Philosophy with Major in Computer Science,us:ipeds:133669:program:phd:doctor-of-philosophy-with-major-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"College states traditional doctoral students are supported with stipend, tuition waiver, and health insurance, contingent on positions and advisor support","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.fau.edu/engineering/graduate/phd-funding/,Current recurring deadline checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Manual claim-level review; no keyword classification
Ontario Tech University,Master of Applied Science in Software Engineering,ca:dli:O19315945002:program:thesis-or-research-master-s:software-engineering-masc,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Credible faculty-level minimum exists but requires a signed supervisor funding commitment,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://gradstudies.ontariotechu.ca/future_students/programs/masters_programs/software_engineering/index.php,Fall 2027 explicitly published and checked 2026-09-10,2026-09-11,Manual claim-level review; no keyword classification
Saint Mary’s University,MSc in Applied Science — Computing Science research field,ca:dli:O19021279692:program:thesis-or-research-master-s:msc-in-applied-science-computing-science-research-field,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Official guide reports typical full-time MSc stipends of CAD 18,600 to 25,000 per year; individual composition and net value require confirmation","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.smu.ca/webfiles/MSc_APSC_ProgramGuide_20240909.pdf,Current program page and September 2024 guide checked 2026-09-11; Fall 2027 date unresolved,2026-09-11,Manual claim-level review; no keyword classification
St. Francis Xavier University,Master of Science in Computer Science,ca:dli:O19391556899:program:thesis-or-research-master-s:master-of-science-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Credible program-level route: most accepted MSc students receive a package covering tuition and some living expenses,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.stfx.ca/programs-courses/programs/master-science-computer-science,Current recurring September-entry deadline checked 2026-09-11; Fall 2027 confirmation required,2026-09-11,Manual claim-level review; no keyword classification
University of British Columbia,Master of Applied Science in Electrical and Computer Engineering,ca:dli:O19330231062:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Most MASc and PhD students without major awards receive supervisor RAs; 50 percent of MASc students receive at least 32,575 gross annual funding in the first two years","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.grad.ubc.ca/prospective-students/graduate-degree-programs/master-of-applied-science-electrical-computer-engineering,Published September 2027 intake,2026-09-11,Manual claim-level review; no keyword classification
University of Pisa,Master's Degree in Computer Science,ror:03ad39j10:program:thesis-or-research-master-s:master-s-degree-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Credible full-cost scholarship route exists but award is competitive and document-dependent,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.unipi.it/en/education/registration/enrolment-and-registration/enrolment-for-international-students/university-fees-and-scholarships/,Latest 2026–27 cycle checked 2026-09-11; wait for 2027–28 call,2026-09-11,Manual claim-level review; no keyword classification
Università di Camerino,Master of Science in Computer Science,ror:0005w8d69:program:thesis-or-research-master-s:master-of-science-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Credible full-cost ERDIS route exists, but the current detailed international award decision remains applicant- and document-dependent","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://international.unicam.it/scholarship-unicam/erdis-scholarships,Latest 2026–27 cycle checked 2026-09-11; wait for 2027–28 call,2026-09-11,Manual claim-level review; no keyword classification
Western University,Master of Engineering Science (MESc) in Electrical and Computer Engineering,ca:dli:O19375892122:program:thesis-or-research-master-s:master-of-engineering-science-mesc-in-electrical-and-computer-engineering,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Published minimum package of 14,200 plus tuition for eligible MESc students, excluding ancillary fees","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.eng.uwo.ca/electrical/graduate/current_students/mesc_program.html,Current process checked 2026-09-11; exact Fall 2027 cycle unresolved,2026-09-11,Manual claim-level review; no keyword classification
Southern Illinois University-Carbondale,"Computer Science, Doctor of Philosophy",us:ipeds:149222:program:phd:computer-science-doctor-of-philosophy,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Program reports many qualified doctoral students receive stipend-bearing assistantships with tuition waiver,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://academics.siu.edu/computing-and-technology/computer-science/doctoral/,Current recurring priority date checked 2026-09-11; reconfirm for Fall 2027,2026-09-11,Manual claim-level review; no keyword classification
Stevens Institute of Technology,Ph.D. in Computer Science,us:ipeds:186867:program:phd:phd-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,The program states all Computer Science doctoral students receive financial support,"Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://www.stevens.edu/program/computer-science-doctoral-program,Latest published cycle; Fall 2027 must be rechecked,2026-09-11,Manual claim-level review; no keyword classification
Wichita State University,PhD in Electrical Engineering and Computer Science,us:ipeds:156125:program:phd:phd-in-electrical-engineering-and-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Assistantships are available and may waive up to 100 percent of tuition; appointment is not guaranteed,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.wichita.edu/academics/graduate_school/assistantships.php,2026 Fall international schedule checked 2026-09-11; Fall 2027 requires confirmation,2026-09-11,Manual claim-level review; no keyword classification
University of Manitoba,Ph.D. in Computer Science,ca:dli:O19091528512:program:phd:phd-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Pass,"Department publishes minimum PhD funding of CAD 23,000 annually for the first four years","Current official evidence establishes a guaranteed, normal, or highly credible funded route for admitted PhD students.",https://umanitoba.ca/science/student-experience/financial-aid-awards/computer-science,Latest published recurring international deadline; Fall 2027 labeling requires recheck,2026-09-11,Manual claim-level review; no keyword classification
York University,MASc in Electrical and Computer Engineering,ca:dli:O19361109242:program:thesis-or-research-master-s:masc-in-electrical-and-computer-engineering,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Full-time thesis and project master's students are automatically considered; program also permits self-funded admission,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://lassonde.yorku.ca/eecs/academics/financial-information-awards/,Fall 2027 application cycle page checked 2026-09-11,2026-09-11,Manual claim-level review; no keyword classification
ETH Zurich,Direct Doctorate in Computer Science,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Stage 3 pass → Stage 5 fail,pass,false,Conditional,Program-level support is stated for admitted Direct Doctorate students; no individual Fall 2027 offer or supervisor capacity is confirmed.,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://ethz.ch/en/doctorate.html,latest official route page,2026-09-11,Manual claim-level review; no keyword classification
University of Virginia-Main Campus,Ph.D. in Computer Science,us:ipeds:234076:program:phd:computer-science-phd,Stage 3 pass → Stage 5 fail,pass,false,Conditional,PhD students are usually admitted with a first-year package and are expected to join a research group for later RA support,"Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://engineering.virginia.edu/department/computer-science/academics/graduate-programs/phd-computer-science,Fall 2027 current program page,2026-09-11,Manual claim-level review; no keyword classification
University of Calgary,PhD in Computer Science (without completed MSc),ca:dli:O18886830282:program:direct-entry-phd:phd-in-computer-science-without-completed-msc,Stage 3 inquiry → Stage 5 pass,resolvable_inquiry,true,Conditional,"Guaranteed department minimum for four years; direct-from-bachelor expected time is five years, leaving a duration gap","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://science.ucalgary.ca/computer-science/future-students/graduate/admission-requirements,Official pages state recurring Fall deadlines but do not label calendar year 2027.,2026-09-11,Manual claim-level review; no keyword classification
Åbo Akademi University,Erasmus Mundus Joint Master in Engineering of Data-intensive Intelligent Software Systems (EDISS),ror:029pk6x14:program:thesis-or-research-master-s:erasmus-mundus-joint-master-in-engineering-of-data-intensive-intelligent-software-systems-ediss,Stage 3 pass → Stage 5 fail,pass,false,Conditional,"Renewed EU funding supports future intakes; latest full scholarship waives participation cost, pays 1,400 monthly for 24 months, and includes health insurance","Current official evidence is competitive, supervisor-dependent, award-dependent, incomplete in duration, or insufficient on international net cost.",https://www.master-ediss.eu/scholarship/,Latest published 2026-28 intake; renewed Erasmus Mundus project continues through 2031,2026-09-11,Manual claim-level review; no keyword classification
