University,Program,Previous Status,Revised Status,Primary Exclusion Reason,Funding Problem,Eligibility Problem,Fit Problem,Application Economics Problem,Evidence URL,Reconsideration Condition
Brown University,Computer Science PhD,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.brown.edu/degrees/doctoral/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Trent University,MSc in Applied Modelling and Quantitative Methods — Thesis Stream,Pass 2 active portfolio,Conditional,Do not apply until the guaranteed net amount is confirmed.,Net-cost conditional funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.trentu.ca/graduatestudies/funding-tuition/funding,What guaranteed two-year amount remains after international tuition and fees for this thesis-stream MSc?
University of Toronto,Master of Applied Science in Electrical and Computer Engineering,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.ece.utoronto.ca/graduates/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Waterloo,Master of Applied Science in Electrical and Computer Engineering,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://uwaterloo.ca/electrical-computer-engineering/thinking-applying,Reconsider only if direct official evidence materially improves the failed gate or application economics.
York University,Master of Science in Computer Science — Thesis Option,Pass 2 active portfolio,Do Not Apply,Removed from the Pass 2 active portfolio because the funding/admission/economics combination is weaker than the selected 15 programs.,,,,"The fee or applicable waiver is high, unknown, or unverified.",https://lassonde.yorku.ca/academics/graduate-program-in-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Iowa State University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.cs.iastate.edu/graduate-studies/phd-application-requirements,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Rice University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,,https://compsci.rice.edu/academics/graduate-programs/graduate-admission,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Notre Dame,Computer Science and Engineering PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://engineering.nd.edu/departments-programs/graduate-programs/phd-in-computer-science-and-engineering/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Case Western Reserve University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://case.edu/engineering/computer-and-data-sciences/academics/computing-science/doctor-philosophy-0,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Colorado State University-Fort Collins,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://compsci.colostate.edu/graduate-application/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Concordia University,Master of Applied Science in Software Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.concordia.ca/academics/graduate/software-engineering-masc.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Ohio State University-Main Campus,Doctor of Philosophy in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://cse.osu.edu/prospective-students/graduate/graduate/funding,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Pennsylvania State University-Main Campus,Computer Science and Engineering PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.eecs.psu.edu/Students/graduate/EECS-students-graduate-funding-opportunities.aspx,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Purdue University-Main Campus,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.purdue.edu/graduate/admission/steps.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
The University of Tennessee-Knoxville,"Computer Science, PhD",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://eecs.utk.edu/graduate/graduate-admissions/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
The University of Texas at Austin,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.cs.utexas.edu/graduate/cost-and-aid,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University at Albany,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.albany.edu/computer-science/programs/phd-computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Central Florida,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://graduate.ucf.edu/graduate-assistantships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Houston,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.uh.edu/nsm/computer-science/graduate/admissions/funding/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Maryland-Baltimore County,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.csee.umbc.edu/admission/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Maryland-College Park,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.cs.umd.edu/grad/admissions-faq,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of New Mexico-Main Campus,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.cs.unm.edu/admissions/financial-aid.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
William & Mary,Computer Science PhD,Pass 2 gated out,Conditional,Do not spend the fee until the funded-admit rule and duration are confirmed.,Conditional funding,,,,https://cdsp.wm.edu/admissions/graduate/,"Does every Fall 2027 Computer Science PhD admit receive a multi-year stipend and full tuition waiver, or can admission be offered without support?"
Howard University,Computer Science (Ph.D.),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://gs.howard.edu/index.php/computer-science-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
McGill University,Electrical Engineering (Thesis) (M.Sc.),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.mcgill.ca/ece/graduate/fellowshipsandawards,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Portland State University,Doctoral Degree in Computer Science (Ph.D.),Pass 2 gated out,Conditional,Do not apply until renewal terms are documented.,First-year-only conditional funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://web.cs.pdx.edu/phd-doctoral-degree-in-cs/,"Will a Fall 2027 offer guarantee renewable support after year one, including adequate insurance and summer coverage?"
Rensselaer Polytechnic Institute,Ph.D. in Computer Science,Pass 2 gated out,Conditional,Do not apply until universal or standard funded-admit treatment is confirmed.,Conditional funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://compsci.rpi.edu/programs/phd-computer-science,Is full tuition-and-stipend support guaranteed to every Fall 2027 Computer Science PhD admit for the full degree?
Southern Methodist University,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://grad.smu.edu/the-international-applicants-guide-to-a-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Texas A&M University-College Station,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://engineering.tamu.edu/cse/academics/degrees/graduate/faq.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of California-Davis,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://grad.ucdavis.edu/international-applicants,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Kentucky,Doctoral Degree in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.engr.uky.edu/academics-1/graduate-studies/computer-science,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Victoria,Master of Applied Science in Electrical and Computer Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uvic.ca/ecs/ece/future/graduate/awards-and-funding/index.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Brandeis University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.brandeis.edu/gsas/financing/doctoral/index.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Concordia University,Cybersecurity Engineering (MASc),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.concordia.ca/academics/graduate/cybersecurity-engineering-masc.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Emory University,Doctor of Philosophy in Computer Science and Informatics,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,,https://computerscience.emory.edu/graduate-phd/admissions/index.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
George Washington University,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://graduate.engineering.gwu.edu/doctoral-funding-information,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Michigan Technological University,"Computer Science, PhD",Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.mtu.edu/gradschool/financial/assistantships/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
New Mexico Institute of Mining and Technology,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.nmt.edu/gradstudies/Tuition_Remission.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
North Dakota State University-Main Campus,Doctor of Philosophy in Software and Security Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://catalog.ndsu.edu/past-bulletin-archive/2024-25/programs-study/graduate/software-engineering/software-engineering_admissionrequirementstext.pdf,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Oklahoma State University-Main Campus,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cas.okstate.edu/computer_science/graduate/phd_cs,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Rochester Institute of Technology,Computing and Information Sciences PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.rit.edu/study/computing-and-information-sciences-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Rutgers University-New Brunswick,"Computer Science (Ph.D.), New Brunswick",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.cs.rutgers.edu/academics/graduate/ph-d-program/financial-aid,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Stony Brook University,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www3.cs.stonybrook.edu/files/graduate/CSbrochure.pdf,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Tennessee Technological University,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.tntech.edu/engineering/programs/csc/graduate-assistantships.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
The University of Texas at Arlington,Doctoral Degree in Computer Science/Computer Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.uta.edu/academics/schools-colleges/engineering/academics/departments/cse/phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
The University of Texas at Dallas,Computer Science PhD,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://cs.utdallas.edu/admissions/admissions-faq/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
The University of Texas at El Paso,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.utep.edu/graduate/funding/doctoral-tuition-remission.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Alabama at Birmingham,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.uab.edu/cas/computerscience/graduate-programs/financial-aid,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Alabama in Huntsville,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uah.edu/science/departments/computer-science/cs-graduate-programs,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Cincinnati-Main Campus,Doctor of Philosophy in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,,,https://www.ceas.uc.edu/admissions/graduate/faqs.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Colorado Colorado Springs,"Cybersecurity, PhD",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://academics.uccs.edu/~schang2/docs/Prospective_Students_UCCS_Systems_Security_Lab.pdf,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Delaware,Ph.D. in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,,https://www.udel.edu/academics/colleges/grad/prospective-students/programs/computer-science/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Florence,MSc in Software: Science and Technology,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,,,https://www.dsu.toscana.it/borsa-di-studio,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Georgia,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.cs.uga.edu/graduate-financial-assistance,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Idaho,"Computer Science, Ph.D.",Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.uidaho.edu/academics/degree-finder/computer-sci-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Illinois Urbana-Champaign,Computer Science PhD,Pass 2 gated out,Do Not Apply,"The 3.35 cumulative GPA is below the published 3.40 CS PhD minimum; only a rare-exception path exists, and the high-fee extreme reach is not justified over the chosen portfolio.",Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,,https://catalog.illinois.edu/graduate/engineering/computer-science-phd/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Kansas,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://eecs.ku.edu/graduate-funding,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Massachusetts-Lowell,Doctor of Philosophy (Ph.D.) in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.uml.edu/~gcoord/student-faq.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Nevada-Reno,Doctor of Philosophy in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.unr.edu/grad/funding/assistantships,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of North Carolina at Charlotte,Ph.D. in Computing and Information Systems — Software and Information Systems Track,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://graduateschool.charlotte.edu/funding/funding-faq/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Oregon,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://scds.uoregon.edu/cs/graduate-programs/funding,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Pittsburgh-Pittsburgh Campus,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://intranet.cs.pitt.edu/grad/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of South Carolina-Columbia,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://cse.sc.edu/content/financial-support,Reconsider only if direct official evidence materially improves the failed gate or application economics.
University of Wyoming,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.uwyo.edu/uw/degree-programs/computer-science-ms-phd.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Virginia Commonwealth University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding passes claim-level review but does not overcome the remaining portfolio weaknesses.,,,,https://egr.vcu.edu/future-students/international/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Washington State University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://gradschool.wsu.edu/degrees/doctor-of-philosophy-computer-science/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Worcester Polytechnic Institute,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,,https://www.wpi.edu/admissions/graduate,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Brock University,Computer Science MSc — Thesis Stream,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://brocku.ca/mathematics-science/computer-science/programs/msc-program/msc-financial/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Carleton University,Master of Applied Science in Electrical and Computer Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://graduate.carleton.ca/financial-assistance/admissions-funding/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Clarkson University,PhD in Computer Science,Pass 2 gated out,Do Not Apply,Funding remains conditional after claim-level review and does not support application spending now.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.clarkson.edu/academics/majors-minors/computer-science-phd,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Clemson University,Computer Science Ph.D.,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.clemson.edu/cecas/departments/computing/academics/graduates/faq.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Georgia State University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://graduate.gsu.edu/program/computer-science-phd/,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Illinois Institute of Technology,Computer Science (Ph.D.),Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://cs.iit.edu/~nsultana1/student_projects/phd.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Kansas State University,Doctor of Philosophy in Computer Science,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.k-state.edu/grad/financial-support/assistantships.html,Reconsider only if direct official evidence materially improves the failed gate or application economics.
Louisiana State University and Agricultural & Mechanical College,Ph.D. in Computer Science and Engineering,Pass 2 gated out,Do Not Apply,Pass 2.1 does not justify application spending; unresolved or failed areas: funding.,Funding remains conditional or insufficient.,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.lsu.edu/eng/cse/programs/graduate_program/graduate_phd.php,Reconsider only if direct official evidence materially improves the failed gate or application economics.
McMaster University,Master of Applied Science in Software Engineering,Pass 2 gated out,Conditional,Do not apply without a supervisor-level funding commitment.,Supervisor-dependent conditional funding,,,"The fee or applicable waiver is high, unknown, or unverified.",https://www.eng.mcmaster.ca/app/uploads/2024/03/Application_FAQ_Graduate_Computing-and-Software.pdf,What two-year package would a willing supervisor guarantee after international tuition and supplementary fees?
