schema_version,professor_id,professor_name,institution_name,program_id,program_name,degree_scope,recorded_recruiting_evidence,source_id,source_url,live_access_status,recheck_status,unresolved_question
2.0,ca:dli:O19361109242:faculty:zhen-ming-jack-jiang,Zhen Ming (Jack) Jiang,York University,ca:dli:O19361109242:program:thesis-or-research-master-s:computer-science-msc-thesis-option,Master of Science in Computer Science — Thesis Option,program_specific,The current faculty research page explicitly says he is recruiting graduate students; York's graduate-opportunities page instructs applicants to contact faculty to determine whether they are accepting students,stage4src:1ed8742d5638462f,https://www.eecs.yorku.ca/~zmjiang/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,ca:dli:O19359011070:faculty:maxime-lamothe,Maxime Lamothe,École Polytechnique de Montréal,ca:dli:O19359011070:program:thesis-or-research-master-s:research-master-s-in-computer-engineering-software-engineering-option,Master of Applied Science in Computer Engineering — Software Engineering Option,program_specific,Polytechnique Montréal's live official expert profile explicitly says Lamothe is currently looking for master's and PhD students.,stage4src:d83b7e2596b07f10,https://www.polymtl.ca/expertises/en/node/46300,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:164988:faculty:ankush-das,Ankush Das,Boston University,us:ipeds:164988:program:phd:computer-science-phd,PhD in Computer Science,program_specific,The current faculty research page explicitly says he is looking for motivated PhD students and invites direct contact and/or a CS PhD application,stage4src:eefeb3bdf3dffb49,https://ankushdas.github.io/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:190044:faculty:faraz-hussain,Faraz Hussain,Clarkson University,us:ipeds:190044:program:phd:phd-in-computer-science,PhD in Computer Science,program_specific,"The SERL page explicitly encourages prospective graduate students to contact its listed faculty, including Hussain, about research opportunities; exact Fall 2027 capacity and funding are not guaranteed.",stage4src:63447270703457e8,https://cu-softe.github.io/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:145725:faculty:nik-sultana,Nik Sultana,Illinois Institute of Technology,us:ipeds:145725:program:phd:computer-science-ph-d,Computer Science (Ph.D.),program_specific,"Sultana's faculty-hosted opportunity page, updated February 20, 2026, explicitly seeks motivated domestic and international Computer Science PhD students and advertises competitive tuition and stipend support; Fall 2027 persistence remains unverified.",stage4src:b4fca2b12e49365c,https://cs.iit.edu/~nsultana1/student_projects/phd.html,request_error,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:180461:faculty:charlie-murphy,Charlie Murphy,Montana State University,us:ipeds:180461:program:phd:computer-science-phd,Computer Science PhD,program_specific,The current Gianforte School research page explicitly marks Murphy as seeking students.,stage4src:55058528ac9a41a9,https://web1vm.cs.montana.edu/research.html,request_error,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:204796:faculty:zhiqiang-lin,Zhiqiang Lin,Ohio State University-Main Campus,us:ipeds:204796:program:phd:computer-science-and-engineering-phd,Doctor of Philosophy in Computer Science and Engineering,program_specific,The current Computer Security Laboratory page explicitly says the lab is always looking for PhD students and invites email contact,stage4src:bfa0cb936f895c25,https://cse.osu.edu/computer-security-laboratory,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:207388:faculty:cong-pu,Cong Pu,Oklahoma State University-Main Campus,us:ipeds:207388:program:phd:doctor-of-philosophy-in-computer-science,Doctor of Philosophy in Computer Science,program_specific,"The current official SecNet page explicitly says the lab is looking for graduate students, and its research-team page says Pu seeks PhD students year-round; Fall 2027 timing still requires confirmation.",stage4src:c899f266c4e38f12,https://cas.okstate.edu/computer_science/about_us/dr_pu_lab,http_error,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:195003:faculty:yinxi-liu,Yinxi Liu,Rochester Institute of Technology,us:ipeds:195003:program:phd:computing-and-information-sciences-phd,Computing and Information Sciences PhD,program_specific,"Official RIT PhD Research Opportunities page lists Yinxi Liu with one available PhD position in software/web security, AI/agent security, program analysis, testing, and security measurement",,https://www.rit.edu/computing/directory/yxlics-yinxi-liu,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:228246:faculty:jia-zhang,Jia Zhang,Southern Methodist University,us:ipeds:228246:program:phd:ph-d-in-computer-science,Ph.D. in Computer Science,program_specific,Zhang's university-hosted research page states that she is recruiting PhD and MS research assistants with full RA support for funded projects; Fall 2027 availability and award terms still require confirmation.,stage4src:538a672e366bacbb,https://s2.smu.edu/~jiazhang/research.html,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:196097:faculty:dongyoon-lee,Dongyoon Lee,Stony Brook University,us:ipeds:196097:program:phd:computer-science-phd,PhD in Computer Science,program_specific,The current university-hosted research page explicitly says he is actively seeking motivated PhD and MS students for systems and security projects,stage4src:314368569d92a877,https://www3.cs.stonybrook.edu/~dongyoon/research.html,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:216339:faculty:stephen-macneil,Stephen MacNeil,Temple University,us:ipeds:216339:program:phd:computer-and-information-science-phd,Computer and Information Science PhD,program_specific,MacNeil maintains a current PhD Opportunities page that welcomes prospective doctoral researchers and lists active project directions; exact Fall 2027 capacity and funding still require confirmation.,stage4src:95cc5195877f5020,https://stevemacn.github.io/phd/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:201885:faculty:yu-zhao,Yu Zhao,University of Cincinnati-Main Campus,us:ipeds:201885:program:phd:ph-d-in-computer-science-and-engineering,Doctor of Philosophy in Computer Science and Engineering,program_specific,The live official UC research-directory profile explicitly states that Zhao is hiring self-motivated students for his research group and asks interested students to send a CV.,stage4src:5afc559c2bdf560c,https://researchdirectory.uc.edu/p/zhao3y3,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:126614:faculty:sriram-sankaranarayanan,Sriram Sankaranarayanan,University of Colorado Boulder,us:ipeds:126614:program:phd:computer-science-phd,Doctor of Philosophy in Computer Science,program_specific,The official Fall 2027 active-faculty recruitment page explicitly lists his verification and synthesis interests and says he is looking for PhD students,stage4src:8efd87e87d2e7938,https://www.colorado.edu/cs/admissions/graduate-admissions/discover-graduate-programs,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:126580:faculty:sang-yoon-chang,Sang-Yoon Chang,University of Colorado Colorado Springs,us:ipeds:126580:program:phd:cybersecurity-phd,"Cybersecurity, PhD",program_specific,Chang's live university-hosted prospective-student notice says he is seeking students and that tuition-and-stipend research assistantships are available for qualified PhD students regardless of citizenship; exact Fall 2027 capacity remains unverified.,stage4src:bf221ddf7e80d82c,https://academics.uccs.edu/~schang2/docs/Prospective_Students_UCCS_Systems_Security_Lab.pdf,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:130943:faculty:stephen-f-siegel,Stephen F. Siegel,University of Delaware,us:ipeds:130943:program:phd:computer-science-phd,Ph.D. in Computer Science,program_specific,The current Verification and Software Laboratory page says it is always looking for motivated undergraduate and graduate students,stage4src:11ee3f6c609cde61,https://vsl.cis.udel.edu/siegel.html,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:174066:faculty:kangjie-lu,Kangjie Lu,University of Minnesota-Twin Cities,us:ipeds:174066:program:phd:computer-science-phd,PhD in Computer Science,program_specific,Current official university-hosted profile explicitly says he is looking for PhD students,stage4src:6d713874b2961713,https://www-users.cse.umn.edu/~kjlu/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
2.0,us:ipeds:217484:faculty:kaleel-mahmood,Kaleel Mahmood,University of Rhode Island,us:ipeds:217484:program:phd:computer-science-ph-d,Computer Science Ph.D.,program_specific,Mahmood's current official URI profile explicitly says he is always looking for motivated graduate and undergraduate students to join his research; exact Fall 2027 capacity and funding require confirmation.,stage4src:ff1158a87cf4661f,https://web.uri.edu/cs/meet/kaleel-mahmood/,reachable,confirmed_with_exact_scope,Confirm that the current general recruiting statement still applies to Fall 2027 and that funded supervision capacity is available.
