source_id,institution_id,institution_name,program_id,program_or_professor,claim_type,exact_claim_supported,source_title,publisher,publication_date,url,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,access_note
src:fcd66b4f07c5eeed,ror:01jdpyv68,Saarland University,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarland University,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Saarland University — official evidence,Saarland University,,https://www.uni-saarland.de/en/future/computerscience.html,official program/profile/repository page,official,2026-09-09,latest official program description,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fcd66b4f07c5eeed,ror:01jdpyv68,Saarland University,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Saarland University,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Saarland University — official evidence,Saarland University,,https://www.uni-saarland.de/en/future/computerscience.html,official program/profile/repository page,official,2026-09-09,latest official program description,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fed10149b56b234b,ror:05f950310,KU Leuven,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KU Leuven,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,KU Leuven — official evidence,KU Leuven,,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,official program/profile/repository page,official,2026-09-09,rolling/position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fed10149b56b234b,ror:05f950310,KU Leuven,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KU Leuven,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,KU Leuven — official evidence,KU Leuven,,https://www.kuleuven.be/english/apply/application-instructions/instructions-doctoral,official program/profile/repository page,official,2026-09-09,rolling/position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:36241b30f3878d35,ror:020hwjq30,Aalto University,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Aalto University,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Aalto University — official evidence,Aalto University,,https://www.aalto.fi/en/study-options/aalto-doctoral-programme-in-science,official program/profile/repository page,official,2026-09-09,latest 2026 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:e8574e9be009f799,ror:020hwjq30,Aalto University,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Aalto University,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Aalto University — official evidence,Aalto University,,https://www.aalto.fi/en/doctoral-education/how-to-apply-for-doctoral-studies,official program/profile/repository page,official,2026-09-09,latest 2026 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:2ef2b993d4d54aa5,ror:040af2s02,University of Helsinki,ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,University of Helsinki,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Helsinki — official evidence,University of Helsinki,,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,official program/profile/repository page,official,2026-09-09,latest 2026 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:2ef2b993d4d54aa5,ror:040af2s02,University of Helsinki,ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,University of Helsinki,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Helsinki — official evidence,University of Helsinki,,https://www.helsinki.fi/en/admissions-and-education/apply-doctoral-programmes,official program/profile/repository page,official,2026-09-09,latest 2026 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:eeb798e364d18042,ror:026vcq606,KTH Royal Institute of Technology,ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KTH Royal Institute of Technology,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,KTH Royal Institute of Technology — official evidence,KTH Royal Institute of Technology,,https://www.kth.se/en/studies/phd,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:eeb798e364d18042,ror:026vcq606,KTH Royal Institute of Technology,ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,KTH Royal Institute of Technology,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,KTH Royal Institute of Technology — official evidence,KTH Royal Institute of Technology,,https://www.kth.se/en/studies/phd,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:7f789411ad3920fa,ror:04qtj9h94,Technical University of Denmark,ror:04qtj9h94:program:phd-requiring-a-master-s:phd-programme-dtu-compute,Technical University of Denmark,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Technical University of Denmark — official evidence,Technical University of Denmark,,https://www.dtu.dk/english/education/phd/intro,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:7f789411ad3920fa,ror:04qtj9h94,Technical University of Denmark,ror:04qtj9h94:program:phd-requiring-a-master-s:phd-programme-dtu-compute,Technical University of Denmark,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Technical University of Denmark — official evidence,Technical University of Denmark,,https://www.dtu.dk/english/education/phd/intro,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:64181e47bb2e6210,ror:03z77qz90,University of Tartu,ror:03z77qz90:program:phd-requiring-a-master-s:phd-in-information-technology-computer-science,University of Tartu,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Tartu — official evidence,University of Tartu,,https://ut.ee/en/curriculum/computer-science,official program/profile/repository page,official,2026-09-09,latest 2026/27 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:64181e47bb2e6210,ror:03z77qz90,University of Tartu,ror:03z77qz90:program:phd-requiring-a-master-s:phd-in-information-technology-computer-science,University of Tartu,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Tartu — official evidence,University of Tartu,,https://ut.ee/en/curriculum/computer-science,official program/profile/repository page,official,2026-09-09,latest 2026/27 cycle,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:665e5779dc4a5541,ror:036x5ad56,University of Luxembourg,ror:036x5ad56:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science-and-computer-engineering,University of Luxembourg,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Luxembourg — official evidence,University of Luxembourg,,https://www.uni.lu/research-en/doctoral-education/dsse/computer-engineering/,official program/profile/repository page,official,2026-09-09,rolling/latest official page,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:665e5779dc4a5541,ror:036x5ad56,University of Luxembourg,ror:036x5ad56:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science-and-computer-engineering,University of Luxembourg,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Luxembourg — official evidence,University of Luxembourg,,https://www.uni.lu/research-en/doctoral-education/dsse/computer-engineering/,official program/profile/repository page,official,2026-09-09,rolling/latest official page,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fc3ee2dfb71ed110,ror:02e2c7k09,Delft University of Technology,ror:02e2c7k09:program:phd-requiring-a-master-s:phd-vacancies-in-computer-science-software-engineering,Delft University of Technology,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Delft University of Technology — official evidence,Delft University of Technology,,https://careers.tudelft.nl/,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fc3ee2dfb71ed110,ror:02e2c7k09,Delft University of Technology,ror:02e2c7k09:program:phd-requiring-a-master-s:phd-vacancies-in-computer-science-software-engineering,Delft University of Technology,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Delft University of Technology — official evidence,Delft University of Technology,,https://careers.tudelft.nl/,official program/profile/repository page,official,2026-09-09,position-specific,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:bc833cc1597c3601,ror:02tyrky19,Trinity College Dublin,ror:02tyrky19:program:phd:phd-in-computer-science-and-statistics,Trinity College Dublin,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,Trinity College Dublin — official evidence,Trinity College Dublin,,https://www.tcd.ie/courses/postgraduate/postgraduate-research/engineering-mathematics-and-science/school-of-computer-science-and-statistics/,official program/profile/repository page,official,2026-09-09,"latest published cycles, not Fall 2027",high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:fa0aafbdf059d468,ror:02tyrky19,Trinity College Dublin,ror:02tyrky19:program:phd:phd-in-computer-science-and-statistics,Trinity College Dublin,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,Trinity College Dublin — official evidence,Trinity College Dublin,,https://www.tcd.ie/study/international/how-to-apply/english-language-requirements/,official program/profile/repository page,official,2026-09-09,"latest published cycles, not Fall 2027",high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:d7eb93599e21a2b2,ror:05m7pjf47,University College Dublin,ror:05m7pjf47:program:phd:phd-computer-science,University College Dublin,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University College Dublin — official evidence,University College Dublin,,https://hub.ucd.ie/usis/!W_HU_MENU.P_PUBLISH?AUDIENCE=&MAJR=T113&p_tag=COURSE,official program/profile/repository page,official,2026-09-09,official 2027 intake metadata,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:5b1133a82cfff428,ror:05m7pjf47,University College Dublin,ror:05m7pjf47:program:phd:phd-computer-science,University College Dublin,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University College Dublin — official evidence,University College Dublin,,https://www.ucd.ie/global/study-at-ucd/english-language-requirements/,official program/profile/repository page,official,2026-09-09,official 2027 intake metadata,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:e2415b8b0eaf1bed,ror:052gg0110,University of Oxford,ror:052gg0110:program:phd:dphil-in-computer-science,University of Oxford,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Oxford — official evidence,University of Oxford,,https://www.ox.ac.uk/admissions/graduate/courses/dphil-computer-science,official program/profile/repository page,official,2026-09-09,"latest official page, mixed-cycle warning",high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:53b4d6b78f0c31ad,ror:052gg0110,University of Oxford,ror:052gg0110:program:phd:dphil-in-computer-science,University of Oxford,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Oxford — official evidence,University of Oxford,,https://www.ox.ac.uk/admissions/graduate/international-applicants/english-language-requirements,official program/profile/repository page,official,2026-09-09,"latest official page, mixed-cycle warning",high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:70123b7a9507a6f6,ror:01nrxwf90,University of Edinburgh,ror:01nrxwf90:program:phd:phd-informatics,University of Edinburgh,program_admissions,Official program/admissions page; cycle label preserved in deep_programs.csv,University of Edinburgh — official evidence,University of Edinburgh,,https://informatics.ed.ac.uk/study-with-us/our-degrees/postgraduate-research-and-cdts/research-degrees,official program/profile/repository page,official,2026-09-09,latest 2026/27 funding and fee evidence,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:5eeb00de87904e7f,ror:01nrxwf90,University of Edinburgh,ror:01nrxwf90:program:phd:phd-informatics,University of Edinburgh,english,Official English-language or admissions evidence; waivers/test thresholds remain applicant-specific,University of Edinburgh — official evidence,University of Edinburgh,,https://www.ed.ac.uk/studying/international/english/postgraduate,official program/profile/repository page,official,2026-09-09,latest 2026/27 funding and fee evidence,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:1c4914ec23cc4a01,ror:013meh722,University of Cambridge,ror:013meh722:program:phd:phd-in-computer-science,Alastair Beresford,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Alastair Beresford — official evidence,University of Cambridge,,https://www.cst.cam.ac.uk/people/arb33,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:1c4914ec23cc4a01,ror:013meh722,University of Cambridge,ror:013meh722:program:phd:phd-in-computer-science,Alastair Beresford,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Alastair Beresford — official evidence,University of Cambridge,,https://www.cst.cam.ac.uk/people/arb33,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:08269b01e5c3f282,ror:02jx3x895,University College London,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,Earl Barr,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Earl Barr — official evidence,University College London,,https://www.ucl.ac.uk/engineering/computer-science/research/research-groups-and-centres/software-systems-engineering-group/people,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:76af01845c4141b2,ror:02jx3x895,University College London,ror:02jx3x895:program:integrated-or-structured-doctorate:computer-science-mphil-phd,Earl Barr,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Earl Barr — official evidence,University College London,,https://discovery.ucl.ac.uk/view/people/EBARR53.date.html,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:294be5c9c586c3a1,ror:041kmwe10,Imperial College London,ror:041kmwe10:program:phd:phd-in-computing,Cristian Cadar,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Cristian Cadar — official evidence,Imperial College London,,https://profiles.imperial.ac.uk/c.cadar,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:7ac3d1a5c2231d21,ror:041kmwe10,Imperial College London,ror:041kmwe10:program:phd:phd-in-computing,Cristian Cadar,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Cristian Cadar — official evidence,Imperial College London,,https://srg.doc.ic.ac.uk/files/papers/pazzer-fuzzing-24.pdf,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:922898270a674383,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Martin Vechev,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Martin Vechev — official evidence,ETH Zurich,,https://www.sri.inf.ethz.ch/people/martin,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:96ff4ac1b788179f,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:direct-entry-phd:direct-doctorate-in-computer-science,Martin Vechev,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Martin Vechev — official evidence,ETH Zurich,,https://www.sri.inf.ethz.ch/publications/jhe2024safecoder,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:922898270a674383,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,Martin Vechev,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Martin Vechev — official evidence,ETH Zurich,,https://www.sri.inf.ethz.ch/people/martin,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:96ff4ac1b788179f,ror:05a28rw58,ETH Zurich,ror:05a28rw58:program:phd-requiring-a-master-s:doctoral-study-programme-in-computer-science,Martin Vechev,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Martin Vechev — official evidence,ETH Zurich,,https://www.sri.inf.ethz.ch/publications/jhe2024safecoder,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:ab56e0073b20c219,ror:01jdpyv68,Saarland University,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Andreas Zeller,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Andreas Zeller — official evidence,Saarland University,,https://cispa.de/en/people/c01aze,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:ab56e0073b20c219,ror:01jdpyv68,Saarland University,ror:01jdpyv68:program:integrated-or-structured-doctorate:saarbr-cken-graduate-school-of-computer-science,Andreas Zeller,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Andreas Zeller — official evidence,Saarland University,,https://cispa.de/en/people/c01aze,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:3604ddce88ad9d52,ror:05f950310,KU Leuven,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Wouter Joosen,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Wouter Joosen — official evidence,KU Leuven,,https://distrinet.cs.kuleuven.be/people/WouterJoosen,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:53821342eea7be59,ror:05f950310,KU Leuven,ror:05f950310:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Wouter Joosen,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Wouter Joosen — official evidence,KU Leuven,,https://distrinet.cs.kuleuven.be/research/publications/2024,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:5b7549b7559b01fc,ror:020hwjq30,Aalto University,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Fabian Fagerholm,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Fabian Fagerholm — official evidence,Aalto University,,https://www.aalto.fi/en/department-of-computer-science/faculty-0,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:025c22e3435abfd6,ror:020hwjq30,Aalto University,ror:020hwjq30:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Fabian Fagerholm,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Fabian Fagerholm — official evidence,Aalto University,,https://research.aalto.fi/en/persons/fabian-fagerholm/,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:606530a841b303f7,ror:040af2s02,University of Helsinki,ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Mika Mäntylä,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Mika Mäntylä — official evidence,University of Helsinki,,https://www.helsinki.fi/en/researchgroups/empirical-software-engineering/people,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:b6ec44b44d840c7d,ror:040af2s02,University of Helsinki,ror:040af2s02:program:phd-requiring-a-master-s:doctoral-programme-in-science-computer-science,Mika Mäntylä,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Mika Mäntylä — official evidence,University of Helsinki,,https://researchportal.helsinki.fi/en/publications/speed-and-performance-of-parserless-and-unsupervised-anomaly-dete/,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:3eb9caa3d6379665,ror:026vcq606,KTH Royal Institute of Technology,ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Martin Monperrus,faculty_appointment,Official institutional profile/group page used to verify current role and research themes,Martin Monperrus — official evidence,KTH Royal Institute of Technology,,https://www.kth.se/profile/monp?l=en,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
src:eb95ebc51195dbde,ror:026vcq606,KTH Royal Institute of Technology,ror:026vcq606:program:phd-requiring-a-master-s:doctoral-programme-in-computer-science,Martin Monperrus,recent_work,Official repository/profile/paper evidence; absence of a selected recent paper is explicitly marked,Martin Monperrus — official evidence,KTH Royal Institute of Technology,,https://www.kth.se/forskning/sarskilda-forskningssatsningar/forskningsprogram-kaw/wasp/nyheter/kth-professorn-martin-monperrus-far-prestigefyllt-pris-for-nytt-satt-att-anvanda-maskininlarning-1.1321457,official program/profile/repository page,official,2026-09-09,current at 2026-09-09,high,accessible or indexed official page,Search snippets were discovery only; final claim points to the official destination. Recheck cycle-specific facts when 2027 material opens.
