program_id,institution_id,institution_name,country,program_name,degree_type,department,official_program_url,thesis_dissertation_requirement,research_credit_requirement,research_groups_labs,direct_from_bachelors_eligible,international_student_eligible,language_of_instruction,current_program_status,preliminary_fit,screening_decision,exclusion_reason,minimum_gpa,minimum_gpa_policy,prerequisite_coursework,gre_policy,english_requirement_waiver,fall_2027_deadline,deadline_cycle_status,application_fee,fee_currency,fee_waiver_rules,multiple_applications_allowed,separate_fees_required,admissions_model,faculty_contact_expectation,funding_model,funding_status,stipend_amount,stipend_currency,funding_duration_years,tuition_coverage,mandatory_fee_coverage,health_insurance_coverage,summer_funding,funding_conditions,supervisor_dependent_funding,phd_funding,masters_funding,scholarships_fellowships,professor_fit_score,faculty_depth_score,research_fit_score,funding_score,eligibility_score,degree_admissions_score,application_economics_score,overall_score,admission_plausibility,recommendation,biggest_risk,unresolved_question,single_professor_dependency,verification_status,notes
ca:dli:O19332687812:program:thesis-or-research-master-s:mcs-in-computer-science-thesis,ca:dli:O19332687812,Carleton University,Canada,MCS in Computer Science (thesis),Thesis or research master's,School of Computer Science,https://graduate.carleton.ca/program/computer-science-masters-programs/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19305471522:program:thesis-or-research-master-s:mmath-in-computer-science-thesis,ca:dli:O19305471522,University of Waterloo,Canada,MMath in Computer Science (thesis),Thesis or research master's,Cheriton School of Computer Science,https://uwaterloo.ca/computer-science/future-graduate-students/programs,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19396019447:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19396019447,Lakehead University,Canada,MSc in Computer Science (thesis),Thesis or research master's,Department of Computer Science,https://www.lakeheadu.ca/programs/graduate/programs/masters/computer-science,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19304259382:program:thesis-or-research-master-s:msc-in-computational-sciences,ca:dli:O19304259382,Laurentian University,Canada,MSc in Computational Sciences,Thesis or research master's,School of Natural Sciences,https://laurentian.ca/academics/program/computational-sciences-msc,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19395535729:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19395535729,McMaster University,Canada,MSc in Computer Science,Thesis or research master's,Department of Computing and Software,https://www.eng.mcmaster.ca/cas/degree-options/computer-science-msc/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19315945002:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19315945002,Ontario Tech University,Canada,MSc in Computer Science,Thesis or research master's,Faculty of Science,https://science.ontariotechu.ca/graduate/computer-science/index.php,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19395677651:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19395677651,Toronto Metropolitan University,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://www.torontomu.ca/graduate/programs/computer-science/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19305391192:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19305391192,University of Guelph,Canada,MSc in Computer Science,Thesis or research master's,School of Computer Science,https://www.uoguelph.ca/programs/msc-computer-science,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19332746152:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19332746152,University of Toronto,Canada,MSc in Computer Science,Thesis or research master's,Department of Computer Science,https://web.cs.toronto.edu/graduate/msc,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19358946722:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19358946722,University of Windsor,Canada,MSc in Computer Science,Thesis or research master's,School of Computer Science,https://www.uwindsor.ca/graduate-studies/494/computer-science,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19397188593:program:thesis-or-research-master-s:msc-in-computer-science,ca:dli:O19397188593,University of Ottawa,Canada,MSc in Computer Science,Thesis or research master's,School of Electrical Engineering and Computer Science,https://www.uottawa.ca/faculty-engineering/graduate-studies/programs/computer-science,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19395164307:program:thesis-or-research-master-s:master-of-applied-computing-thesis-stream,ca:dli:O19395164307,Wilfrid Laurier University,Canada,Master of Applied Computing (thesis stream),Thesis or research master's,Department of Computer Science and Physics,https://students.wlu.ca/programs/science/computer-science-and-physics/graduate-students/program-requirements/index.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19375892122:program:thesis-or-research-master-s:msc-in-computer-science-thesis,ca:dli:O19375892122,Western University,Canada,MSc in Computer Science (thesis),Thesis or research master's,Department of Computer Science,https://www.csd.uwo.ca/graduate/current/degree_requirements.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19359011007:program:thesis-or-research-master-s:master-of-computer-science-thesis,ca:dli:O19359011007,Concordia University,Canada,Master of Computer Science (thesis),Thesis or research master's,Department of Computer Science and Software Engineering,https://www.concordia.ca/academics/graduate/computer-science-mcompsc.html,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,English,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19359011185:program:thesis-or-research-master-s:ma-trise-en-t-l-communications,ca:dli:O19359011185,Institut national de la recherche scientifique,Canada,Maîtrise en télécommunications,Thesis or research master's,Centre Énergie Matériaux Télécommunications,https://inrs.ca/les-etudes/programmes-d-etudes/repertoire-des-programmes-d-etudes/maitrise-en-telecommunications-3404/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,French,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19359011045:program:thesis-or-research-master-s:ma-trise-en-informatique,ca:dli:O19359011045,Université de Montréal,Canada,Maîtrise en informatique,Thesis or research master's,Département d'informatique et de recherche opérationnelle,https://admission.umontreal.ca/programmes/maitrise-en-informatique/,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,French; English completion not established,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19359011083:program:thesis-or-research-master-s:ma-trise-en-informatique,ca:dli:O19359011083,Université de Sherbrooke,Canada,Maîtrise en informatique,Thesis or research master's,Département d'informatique,https://www.usherbrooke.ca/admission/programme/652/maitrise-en-informatique,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,French; English completion not established,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
ca:dli:O19359011020:program:thesis-or-research-master-s:ma-trise-en-informatique-avec-m-moire,ca:dli:O19359011020,Université Laval,Canada,Maîtrise en informatique avec mémoire,Thesis or research master's,Département d'informatique et de génie logiciel,https://www.ulaval.ca/etudes/programmes/maitrise-en-informatique-avec-memoire,Thesis or research dissertation required,Official page shows a thesis/research route; exact credits pending deep review,Pending faculty/research-fit phase,Yes — research master's accepts a relevant bachelor's degree; detailed equivalency pending,Institution is a current DLI; program-specific eligibility pending,French; English completion not established,Official program page accessible on freeze date,Positive computing/software/AI/security research-degree signal,preliminary_fit,,,,,,,,,,,,,,Program application; supervisor rules pending deep review,Pending deep review,Pending deep review,Not assessed in mechanical screen,,,,,,,,,,,,,,,,,,,,,Insufficient evidence,Investigate Further,"Faculty fit, funding, and Fall 2027 details are not yet verified",Does the program have a matching supervisor and viable funding for Fall 2027?,Unknown,Official program existence/structure checked; deep review pending,Mechanical positive-signal screen only; not finally retained.
