schema_version,sample_id,region,institution_id,institution_name,country,exclusion_reason_category,original_exclusion_reason,original_supporting_evidence,original_source_url,independent_discovery_paths,independent_research_signal,audit_result,false_negative_risk,audit_rationale,funnel_program_id,sample_status,audit_date
2.0,sample:00e7ebb1eafb770d,europe,ror:03bkgak51,Christ the King Sixth Form College,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Christ the King Sixth Form College; active education-type metadata contains no graduate-degree indicator.,http://www.ctksfc.ac.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:f84655ae39c7c3b7,europe,ror:001398926,Balshaw’s Church of England High School,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Balshaw’s Church of England High School; active education-type metadata contains no graduate-degree indicator.,https://www.balshaws.lancs.sch.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:9676e583c0c5008e,europe,ror:053236z94,City of Stoke-on-Trent Sixth Form College,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: City of Stoke-on-Trent Sixth Form College; active education-type metadata contains no graduate-degree indicator.,http://www.stokesfc.ac.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:790a3c09588518ae,europe,ror:01a8ynn13,The Langton Grammar School for Boys,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: The Langton Grammar School for Boys; active education-type metadata contains no graduate-degree indicator.,https://www.thelangton.org.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:50cf094e98a399d9,europe,ror:026y0w292,Twyford Church of England High School,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Twyford Church of England High School; active education-type metadata contains no graduate-degree indicator.,https://twyford.ealing.sch.uk,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:416b2ea7d3a43403,europe,ror:05rs7mx39,Richmond School and Sixth Form College,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Richmond School and Sixth Form College; active education-type metadata contains no graduate-degree indicator.,http://www.richmondschool.net/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:6fc4a4bbe5b31483,europe,ror:00tf2g326,Bolton Sixth Form College,United Kingdom,non_university_school_entity,Name explicitly identifies a primary/secondary-school entity; no graduate-degree signal in ROR metadata,ROR display name: Bolton Sixth Form College; active education-type metadata contains no graduate-degree indicator.,http://www.bolton-sfc.ac.uk/,,,confirmed_screened_out,low,"The original official-scope evidence identifies a non-computing specialist or non-university school entity, and no independent positive path was observed.",,complete,2026-09-11
2.0,sample:687568fbfd802ce4,europe,ror:020hkyk57,Vilnius College of Technologies and Design,Lithuania,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",http://www.vtdko.lt/en/,recent_paper_signal,2022: Secure Data Integration in Multi-Tenant Cloud Environments: Architecture for Financial Services Providers [https://doi.org/10.54660/.jfmr.2022.3.1.579-592],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:b5f4635a03521cc6,europe,ror:03ez40v33,BI Norwegian Business School,Norway,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",http://www.bi.edu/,recent_paper_signal,"2022: Metaverse beyond the hype: Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for research, practice and policy [https://doi.org/10.1016/j.ijinfomgt.2022.102542] | 2023: Fully Autonomous Programming with Large Language Models [https://doi.org/10.1145/3583131.3590481]",reopen_in_funnel,observed,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,ror:03ez40v33:program:unclear:cross-path-catalog-review,complete,2026-09-11
2.0,sample:b606d9e60a4a0f38,europe,ror:04jr1s763,University of Florence,Italy,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://www.unifi.it,recent_paper_signal,2022: Towards Trustworthy Autonomous Systems: Taxonomies and Future Perspectives [https://doi.org/10.1109/tetc.2022.3227113],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:c7bb2f4849f383c5,europe,ror:05wwcw481,Bournemouth University,United Kingdom,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://www.bournemouth.ac.uk,recent_paper_signal,"2023: Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy [https://doi.org/10.1016/j.ijinfomgt.2023.102642] | 2022: Metaverse beyond the hype: Multidisciplinary perspectives on emerging challenges, opportunities, and agenda for research, practice and policy [https://doi.org/10.1016/j.ijinfomgt.2022.102542]",unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:be2c206f44d62181,europe,ror:0107c5v14,University of Genoa,Italy,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://unige.it,recent_paper_signal,2023: Wild Patterns Reloaded: A Survey of Machine Learning Security against Training Data Poisoning [https://doi.org/10.1145/3585385] | 2024: Nebula: Self-Attention for Dynamic Malware Analysis [https://doi.org/10.1109/tifs.2024.3409083],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:f890bc4b6acaa051,europe,ror:05q9m0937,University of Klagenfurt,Austria,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://www.aau.at,recent_paper_signal,2024: The impact of generative artificial intelligence on socioeconomic inequalities and policy making [https://doi.org/10.1093/pnasnexus/pgae191] | 2022: Machine Learning for Wireless Sensor Networks Security: An Overview of Challenges and Issues [https://doi.org/10.3390/s22134730],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:3d05ef1565c3a1ff,europe,ror:04b8v1s79,Tilburg University,Netherlands,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://www.tilburguniversity.edu/,recent_paper_signal,2025: A knowledge-based approach for guided development of Infrastructure as Code [https://doi.org/10.1007/s10270-025-01294-1] | 2023: Human resource management in the age of generative artificial intelligence: Perspectives and research directions on ChatGPT [https://doi.org/10.1111/1748-8583.12524],reopen_in_funnel,observed,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,ror:04b8v1s79:program:unclear:cross-path-catalog-review,complete,2026-09-11
2.0,sample:a77408a4f468ad50,europe,ror:049e6bc10,Northumbria University,United Kingdom,outside_bounded_positive_seed_screen,Outside the bounded positive-signal official-program seed screen; exhaustive catalog verification remains required,"No exact official computer-science doctoral page was included in the bounded positive-signal seed set. This is a workflow disposition, not evidence that no relevant program exists.",https://www.northumbria.ac.uk/,recent_paper_signal,"2023: Opinion Paper: “So what if ChatGPT wrote it?” Multidisciplinary perspectives on opportunities, challenges and implications of generative conversational AI for research, practice and policy [https://doi.org/10.1016/j.ijinfomgt.2023.102642] | 2023: Information security policies compliance in a global setting: An employee's perspective [https://doi.org/10.1016/j.cose.2023.103208]",unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:2e6103244645126e,us,us:ipeds:136950,Rollins College,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2026: The open-source advantage in large language models (LLMs) [https://doi.org/10.1007/s43681-026-01190-4],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:17ae90ef210cbbd5,us,us:ipeds:195173,St. Francis College,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2024: A STUDY OF BUSINESS PROCESS AUTOMATION WITH DEVOPS: A DATA-DRIVEN APPROACH TO AGILE TECHNICAL SUPPORT [https://doi.org/10.63125/3w5cjn27],reopen_in_funnel,observed,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,us:ipeds:195173:program:unclear:cross-path-catalog-review,complete,2026-09-11
2.0,sample:0bbf80b654b625d9,us,us:ipeds:152567,Trine University,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2024: Enhancing Security in DevOps by Integrating Artificial Intelligence and Machine Learning [https://doi.org/10.53469/jtpes.2024.04(02).05],reopen_in_funnel,observed,An independent discovery path contradicts the bounded original screen; the institution now has a catalog-verification candidate and is not treated as a confirmed no-program result.,us:ipeds:152567:program:unclear:cross-path-catalog-review,complete,2026-09-11
2.0,sample:f53d75316c2daea1,us,us:ipeds:151263,University of Indianapolis,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2024: On Evaluating Black-Box Explainable AI Methods for Enhancing Anomaly Detection in Autonomous Driving Systems [https://doi.org/10.3390/s24113515],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:cb793d1deb1cd606,us,us:ipeds:123651,Vanguard University of Southern California,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2024: Cloud-based compliance and data security solutions in financial applications using CI/CD pipelines [https://doi.org/10.53346/wjetr.2024.3.2.0059] | 2025: Resilience by Design: Disaster Recovery and Failover Strategies for Mission-Critical Applications [https://doi.org/10.37082/ijirmps.v13.i5.232782],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:2898107157ee937c,us,us:ipeds:106263,University of Arkansas for Medical Sciences,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2025: FUTURE-AI: international consensus guideline for trustworthy and deployable artificial intelligence in healthcare [https://doi.org/10.1136/bmj-2024-081554],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:5e8ae11114cdcf15,us,us:ipeds:219602,Austin Peay State University,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2025: Zero trust architecture: A paradigm shift in network security [https://doi.org/10.51594/csitrj.v6i3.1871] | 2024: Container Security in Cloud Environments [https://doi.org/10.14293/pr2199.000730.v1],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,sample:6a8969ce7c6632b8,us,us:ipeds:228909,University of North Texas Health Science Center,United States,no_recent_configured_cip_signal,No configured primary or secondary CIP completion signal in the three frozen IPEDS graduate first-major completions files; catalog-only and new programs remain a known gap.,"No positive-completion row at award levels 7/17/18/19 for any configured primary or secondary CIP in C2022_A, C2023_A, or C2024_A.",https://nces.ed.gov/ipeds/datacenter/DataFiles.aspx,recent_paper_signal,2022: Transfer function analysis of dynamic cerebral autoregulation: A CARNet white paper 2022 update [https://doi.org/10.1177/0271678x221119760],unresolved_no_independent_positive,medium,"No independent positive signal was observed, but the original exclusion was a bounded mechanical screen rather than an exhaustive official-catalog finding.",,complete,2026-09-11
2.0,reentry01:ca:dli:O18781994282,canada,ca:dli:O18781994282,Simon Fraser University,Canada,official_inventory_no_research_computing_route,Exact route absent from the original Stage 2 funnel,The original mechanical screen noted a relevant seed but failed to retain an exact official program page.,https://www.sfu.ca/,research_masters_or_scholarship_search|official_program_or_department_signal|underrepresented_route_search|recognized_institution_record,"Official SFU research pages identify programming languages and software engineering, formal verification, static program analysis, model checking, security, and systems research.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ca:dli:O18781994282:program:thesis-or-research-master-s:computing-science-master-of-science-thesis,complete,2026-09-10
2.0,reentry01:ror:040wg7k59,europe,ror:040wg7k59,Chalmers University of Technology,Sweden,outside_bounded_positive_seed_screen,Exact route absent from the original Stage 2 funnel,The original bounded screen left the exact route unresolved despite a current official research-master page.,https://www.chalmers.se,research_masters_or_scholarship_search|lab_or_center_signal|underrepresented_route_search,"The current official MSc page identifies security and privacy, programming languages, logic, formal methods, type theory, research-group work, and a research thesis.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ror:040wg7k59:program:thesis-or-research-master-s:computer-science-msc,complete,2026-09-10
2.0,reentry02:us:ipeds:186380,us,us:ipeds:186380,Rutgers University-New Brunswick,United States,single_bounded_registry_signal_without_independent_topic_signal,Exact route absent from the original Stage 2 funnel,"All Rutgers mechanical program-code rows were screened out because the initial bounded pass recovered no independent topical signal; current official program, faculty, and funding pages now contradict that omission.",https://newbrunswick.rutgers.edu,official_program_or_department_signal|current_faculty_topic_signal|underrepresented_route_search|recognized_institution_record,"Current official Rutgers pages show a Computer Science PhD and active work on robust and secure software systems spanning programming languages, compilers, runtimes, operating systems, and program analysis.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,us:ipeds:186380:program:phd:computer-science-phd,complete,2026-09-10
2.0,reentry02:ror:016xsfp80,europe,ror:016xsfp80,Radboud University Nijmegen,Netherlands,outside_bounded_positive_seed_screen,Exact route absent from the original Stage 2 funnel,"Radboud had no Stage 2 funnel row even though its current official Software Science route and institute pages show directly relevant software-analysis, verification, and security work.",https://www.ru.nl,official_program_or_department_signal|lab_or_center_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,"The program and iCIS pages emphasize code analysis and testing, software verification, model checking, functional programming, formal foundations, and mathematically grounded reliable and secure software methods.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ror:016xsfp80:program:thesis-or-research-master-s:computing-science-msc-software-science,complete,2026-09-10
2.0,reentry03:us:ipeds:145600,us,us:ipeds:145600,University of Illinois Chicago,United States,single_bounded_registry_signal_without_independent_topic_signal,Exact route absent from the original Stage 2 funnel,"UIC's mechanical IPEDS rows were not promoted because the initial bounded pass lacked a joined exact doctorate and independent current software-analysis/security signal; current official program, research, and funding pages contradict that omission.",https://www.uic.edu,official_program_or_department_signal|lab_or_center_signal|underrepresented_route_search|recognized_institution_record,"UIC publishes active Software Analysis, Software Engineering, Security and Privacy, and Systems and Networking areas, including labs working on program analysis, formal methods, resilient security, and software assurance.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,us:ipeds:145600:program:phd:phd-in-computer-science,complete,2026-09-10
2.0,reentry03:ror:041nas322,europe,ror:041nas322,University of Bonn,Germany,outside_bounded_positive_seed_screen,Exact route absent from the original Stage 2 funnel,Bonn was absent from the original bounded candidate set despite a current English research-oriented Computer Science MSc with explicit research-thesis and software-engineering preparation requirements.,https://www.uni-bonn.de,official_program_or_department_signal|recognized_institution_record|research_masters_or_scholarship_search|underrepresented_route_search,"The official program is closely linked to institute research and requires substantial programming, software engineering or information-systems preparation plus advanced research study and thesis work.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ror:041nas322:program:thesis-or-research-master-s:computer-science-msc,complete,2026-09-10
2.0,reentry04:us:ipeds:229027,us,us:ipeds:229027,The University of Texas at San Antonio,United States,single_bounded_registry_signal_without_independent_topic_signal,Exact route absent from the original Stage 2 funnel,"UT San Antonio's mechanical registry row was not promoted in the bounded baseline, although current official pages establish a bachelor's-entry Computer Science PhD, Fall 2027 cycle, relevant AI and security context, and a comprehensive doctoral support package.",https://www.utsa.edu,official_program_or_department_signal|underrepresented_route_search|recognized_institution_record,"The doctorate sits in the College of AI, Cyber and Computing and is supported by active research in artificial intelligence, cybersecurity, computing, and data science.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,us:ipeds:229027:program:phd:phd-in-computer-science,complete,2026-09-10
2.0,reentry04:ca:dli:O19091528512,canada,ca:dli:O19091528512,University of Manitoba,Canada,outside_bounded_positive_seed_screen,Exact route absent from the original Stage 2 funnel,"Manitoba's exact doctorate was absent from the original set despite current software-engineering and security fit, a rare direct-bachelor's exception, and a published four-year minimum doctoral funding policy.",https://umanitoba.ca,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,"The official program publishes security and privacy, data-driven software engineering, distributed algorithms, autonomous agents, and an intensive research thesis.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ca:dli:O19091528512:program:phd:phd-in-computer-science,complete,2026-09-10
2.0,reentry05:us:ipeds:100663,us,us:ipeds:100663,University of Alabama at Birmingham,United States,registry_only_signals_not_promoted_to_exact_program_review,Exact route absent from the original Stage 2 funnel,"UAB appeared only through mechanical IPEDS signals, although current official pages establish a direct-entry Computer Science PhD, seed-relevant programming-languages and verification work, and majority-but-not-universal doctoral assistantship support.",https://www.uab.edu,official_program_or_department_signal|current_faculty_topic_signal|underrepresented_route_search|recognized_institution_record,"The program covers software engineering, programming languages and formal verification, security, cloud and distributed computing, and AI, with current doctoral opportunities in type systems and verification.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,us:ipeds:100663:program:phd:ph-d-in-computer-science,complete,2026-09-10
2.0,reentry05:ror:01c1w6d29,europe,ror:01c1w6d29,University of Bamberg,Germany,outside_bounded_positive_seed_screen,Exact route absent from the original Stage 2 funnel,"Bamberg's exact English International Software Systems Science MSc was absent from the bounded funnel despite official evidence of a research-oriented software-systems curriculum, detailed international eligibility rules, research projects, and no tuition.",https://www.uni-bamberg.de/,official_program_or_department_signal|research_masters_or_scholarship_search|recognized_institution_record|underrepresented_route_search,"The curriculum emphasizes software engineering, programming languages, formal analysis, privacy and security, distributed systems, and research preparation through projects and thesis work.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,ror:01c1w6d29:program:thesis-or-research-master-s:m-sc-international-software-systems-science,complete,2026-09-10
2.0,reentry06:us:ipeds:200332,us,us:ipeds:200332,North Dakota State University-Main Campus,United States,registry_only_signals_not_promoted_to_exact_program_review,Exact route absent from the original Stage 2 funnel,"NDSU appeared only through a mechanical Computer Science signal although current official pages establish a distinct Software and Security Engineering PhD, direct software-assurance fit, and competitive stipend-plus-tuition assistantships.",https://www.ndsu.edu/,official_program_or_department_signal|underrepresented_route_search|recognized_institution_record,"The doctorate explicitly integrates disciplined software design, software quality, cybersecurity, vulnerability analysis, and research supervised by Computer Science graduate faculty.",false_negative_corrected,confirmed,Official program and research evidence now establishes a plausible exact route; the candidate was added for Stage 3 verification.,us:ipeds:200332:program:phd:ph-d-in-software-and-security-engineering,complete,2026-09-10
