schema_version,program_id,institution_name,domain,recorded_claim,primary_source_id,primary_url,secondary_source_id,secondary_url,authoritative_source_count,second_source_status,live_access_status,cycle_label,evidence_status,unresolved_question
2.0,us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,program,Computer Science PhD,stage3src:7c33818f24d791f05028,https://cs.arizona.edu/graduate/prospective-students,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?"
2.0,us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,faculty,Roberto Giacobazzi,stage4src:8e1f277f6b6760ae,https://cs.arizona.edu/about/faculty,stage4src:821f27383d3745dd,https://www2.cs.arizona.edu/people/giacobazzi/,3,present,not_checked,not_applicable,verified_two_source,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?"
2.0,us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,funding,Teaching or research assistantship; fellowships for selected applicants,stage3src:7c33818f24d791f05028,https://cs.arizona.edu/graduate/prospective-students,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?"
2.0,us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,eligibility,Yes — Graduate College degree admission requires a completed U.S. bachelor's or comparable international degree; no master's prerequisite is published for this PhD,stage3src:bcc19b6f254fd40fb775,https://grad.arizona.edu/admissions/faqs?field_audiences_target_id=1,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?"
2.0,us:ipeds:104179:program:phd:computer-science-phd,University of Arizona,deadline,January 15,stage3src:5876d56f7e0057928bd1,https://cs.arizona.edu/graduate/prospective-students/application-deadlines,,,1,not_in_ledger,reachable,Latest current PhD deadline page; calendar year not explicitly printed,verified_single_source,"What duration, stipend, mandatory-fee, and summer terms will the admission offer specify?"
2.0,us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,program,Doctor of Philosophy in Computer Science,stage3src:c04db4e060870a0d3a9a,https://www.colorado.edu/cs/academics/graduate-programs/doctor-philosophy,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,What summer support and current 2027-2028 stipend will the individual offer provide?
2.0,us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,faculty,Sriram Sankaranarayanan,stage4src:fb70dd2f96a45a49,https://plv.colorado.edu/,stage4src:3f80d0f9af176c3d,https://www.colorado.edu/cs/sriram-sankaranarayanan,3,present,not_checked,not_applicable,verified_two_source,What summer support and current 2027-2028 stipend will the individual offer provide?
2.0,us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,funding,Teaching or research assistantship,stage3src:422374bdb0bd4a65186b,https://www.colorado.edu/cs/graduate-admissions/faqs,stage3src:ace729d53fd55f4d0121,https://www.colorado.edu/cs/admissions/graduate-admissions/funding-opportunities,2,present,reachable,not_applicable,verified_two_source,What summer support and current 2027-2028 stipend will the individual offer provide?
2.0,us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,eligibility,Yes — a master's and a CS bachelor's are not required,stage3src:c632238359da7c57f44a,https://www.colorado.edu/cs/admissions/graduate-admissions/how-apply/how-applyphd,stage3src:422374bdb0bd4a65186b,https://www.colorado.edu/cs/graduate-admissions/faqs,2,present,reachable,not_applicable,verified_two_source,What summer support and current 2027-2028 stipend will the individual offer provide?
2.0,us:ipeds:126614:program:phd:computer-science-phd,University of Colorado Boulder,deadline,"December 15, 2026 at 9:59 p.m. MST",stage3src:c632238359da7c57f44a,https://www.colorado.edu/cs/admissions/graduate-admissions/how-apply/how-applyphd,,,1,not_in_ledger,reachable,Fall 2027 current application page,verified_single_source,What summer support and current 2027-2028 stipend will the individual offer provide?
2.0,us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,program,Computer Science PhD,stage3src:86fe851a80c71bd603da,https://www.cics.umass.edu/academics/phd-computer-science/how-apply-phd-program,stage3src:6235f681577d33f7948a,https://www.cics.umass.edu/academics/academic-policies/graduate-programs-policies/msphd-degree-requirements/other-msphd-program-information,2,present,reachable,not_applicable,verified_two_source,Confirm the Fall 2027 offer's summer and insurance/fee details
2.0,us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,faculty,Yuriy Brun,stage4src:953030967dd62d30,https://www.cics.umass.edu/about/people,stage4src:7d3c3f8a0718339a,https://www.cics.umass.edu/about/directory/yuriy-brun,3,present,not_checked,not_applicable,verified_two_source,Confirm the Fall 2027 offer's summer and insurance/fee details
2.0,us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,funding,TA/RA/fellowship guarantee for students whose admission letter includes it,stage3src:6235f681577d33f7948a,https://www.cics.umass.edu/academics/academic-policies/graduate-programs-policies/msphd-degree-requirements/other-msphd-program-information,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,Confirm the Fall 2027 offer's summer and insurance/fee details
2.0,us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,eligibility,Yes — applicants with strong undergraduate CS preparation are eligible,stage3src:86fe851a80c71bd603da,https://www.cics.umass.edu/academics/phd-computer-science/how-apply-phd-program,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,Confirm the Fall 2027 offer's summer and insurance/fee details
2.0,us:ipeds:166629:program:phd:computer-science-phd,University of Massachusetts-Amherst,deadline,Not verified in frozen evidence,stage3src:86fe851a80c71bd603da,https://www.cics.umass.edu/academics/phd-computer-science/how-apply-phd-program,,,1,not_in_ledger,reachable,"Current CICS page lists December 15, but the reviewed page did not explicitly label Fall 2027",verified_single_source,Confirm the Fall 2027 offer's summer and insurance/fee details
2.0,us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,program,PhD in Computer Science,stage3src:8ae4e14e33b8400153c3,https://cse.umn.edu/cs/phd-admissions,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?"
2.0,us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,faculty,Kangjie Lu,stage4src:bfef67e7b45c554c,https://cse.umn.edu/cs/faculty,stage4src:6d713874b2961713,https://www-users.cse.umn.edu/~kjlu/,3,present,not_checked,not_applicable,verified_two_source,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?"
2.0,us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,funding,"Teaching assistantship, research assistantship, or fellowship",stage3src:e6a9acacafc5855719d7,https://cse.umn.edu/cs/graduate-admissions-overview,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?"
2.0,us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,eligibility,Yes — four-year or equivalent undergraduate degree; a master's degree is not required,stage3src:8ae4e14e33b8400153c3,https://cse.umn.edu/cs/phd-admissions,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?"
2.0,us:ipeds:174066:program:phd:computer-science-phd,University of Minnesota-Twin Cities,deadline,December 15 for fellowship consideration; January 5 final,stage3src:8ae4e14e33b8400153c3,https://cse.umn.edu/cs/phd-admissions,,,1,not_in_ledger,reachable,Latest current PhD admissions page; specific calendar years not printed,verified_single_source,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?"
2.0,us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,program,Computer Science PhD,stage3src:f1f6c042888a82aef354,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,stage3src:effc2464434d47c91ee3,https://students.cs.vt.edu/Graduate/Funding.html,2,present,reachable,not_applicable,verified_two_source,What summer-support expectation applies after year one?
2.0,us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,faculty,Na Meng,stage4src:e20faa58e1d61aea,https://cs.vt.edu/people/faculty.html,stage4src:92b4d594b9438529,https://website.cs.vt.edu/people/faculty/na-ming.html,3,present,not_checked,not_applicable,verified_two_source,What summer-support expectation applies after year one?
2.0,us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,funding,Five-year departmental multi-year offer,stage3src:effc2464434d47c91ee3,https://students.cs.vt.edu/Graduate/Funding.html,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,What summer-support expectation applies after year one?
2.0,us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,eligibility,Yes — the program describes a five-year path from the bachelor's degree,stage3src:f1f6c042888a82aef354,https://website.cs.vt.edu/academic/graduate/future-grads/doctorate.html,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,What summer-support expectation applies after year one?
2.0,us:ipeds:233921:program:phd:computer-science-phd,Virginia Polytechnic Institute and State University,deadline,2026-12-01,stage3src:f68886ff2befe77e0cc1,https://website.cs.vt.edu/academic/graduate/future-grads/ApplicationDeadlines.html,,,1,not_in_ledger,reachable,Fall 2027 full-consideration deadline explicitly labeled,verified_single_source,What summer-support expectation applies after year one?
2.0,us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,program,Software Engineering PhD,stage3src:eb9cbc1155255ac27557,https://se-phd.isri.cmu.edu/,stage3src:31d029a3e500f2930622,https://se-phd.s3d.cmu.edu/Prospective%20Students/index.html,2,present,reachable,not_applicable,verified_two_source,Confirm exact 2027 stipend and health/fee components in an offer
2.0,us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,faculty,Claire Le Goues,stage4src:38ce2896634a104d,https://s3d.cmu.edu/people/faculty-index.html,stage4src:2091a98f6fa68da4,https://s3d.cmu.edu/people/core-faculty/legoues-claire.html,3,present,not_checked,not_applicable,verified_two_source,Confirm exact 2027 stipend and health/fee components in an offer
2.0,us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,funding,Departmental RA/TA support,stage3src:31d029a3e500f2930622,https://se-phd.s3d.cmu.edu/Prospective%20Students/index.html,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,Confirm exact 2027 stipend and health/fee components in an offer
2.0,us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,eligibility,Yes — SCS accepts applicants holding a bachelor's degree or equivalent,stage3src:eb9cbc1155255ac27557,https://se-phd.isri.cmu.edu/,stage3src:1c77cc70f88821cdf6cd,https://admissions.scs.cmu.edu/portal/apply_gr,2,present,reachable,not_applicable,verified_two_source,Confirm exact 2027 stipend and health/fee components in an offer
2.0,us:ipeds:211440:program:phd:software-engineering-phd,Carnegie Mellon University,deadline,2026-12-09,stage3src:1c77cc70f88821cdf6cd,https://admissions.scs.cmu.edu/portal/apply_gr,,,1,not_in_ledger,reachable,"Fall 2027 final deadline, explicitly labeled; early deadline 2026-11-18 at 3 p.m. ET",verified_single_source,Confirm exact 2027 stipend and health/fee components in an offer
2.0,us:ipeds:198419:program:phd:computer-science-phd,Duke University,program,Computer Science PhD,stage3src:06a4e497cd1e8ed3f3a4,https://cs.duke.edu/graduate/phd,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?"
2.0,us:ipeds:198419:program:phd:computer-science-phd,Duke University,faculty,Danfeng Zhang,stage4src:c9714bc3917a04e9,https://cs.duke.edu/research/security-and-privacy,stage4src:26867b0af61ed868,https://users.cs.duke.edu/~dz132/,3,present,not_checked,not_applicable,verified_two_source,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?"
2.0,us:ipeds:198419:program:phd:computer-science-phd,Duke University,funding,Graduate fellowship and TA in first two years; advisor research funding from year three,stage3src:d4e7001f87ced1a30c36,https://cs.duke.edu/graduate/phd/financial,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?"
2.0,us:ipeds:198419:program:phd:computer-science-phd,Duke University,eligibility,Yes — FAQ explicitly states a master's is not required,stage3src:899eab0d653d496e25a5,https://cs.duke.edu/graduate/faq,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?"
2.0,us:ipeds:198419:program:phd:computer-science-phd,Duke University,deadline,"December 15, 2026",stage3src:a5ac70a60405d624bd14,https://gradschool.duke.edu/admissions/application-deadlines/,,,1,not_in_ledger,reachable,2027 Graduate School deadline table,verified_single_source,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?"
2.0,us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,program,Ph.D. Computer Science,stage3src:f3431faa468ee81c003d,https://www.njit.edu/academics/degree/phd-computer-science,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What exact duration, stipend, tuition, mandatory-fee, health-insurance, and summer terms would NJIT put in this applicant's offer?"
2.0,us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,faculty,Martin Kellogg,stage4src:f34cc7e67c765a1c,https://cs.njit.edu/faculty,stage4src:12bf1c9850e95a53,https://people.njit.edu/profile/mjk76,5,present,not_checked,not_applicable,verified_two_source,"What exact duration, stipend, tuition, mandatory-fee, health-insurance, and summer terms would NJIT put in this applicant's offer?"
2.0,us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,funding,Competitive research or teaching assistantships with stipend and tuition support,stage3src:f3431faa468ee81c003d,https://www.njit.edu/academics/degree/phd-computer-science,stage3src:ccb9f08b14e470d16eff,https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,2,present,reachable,not_applicable,verified_two_source,"What exact duration, stipend, tuition, mandatory-fee, health-insurance, and summer terms would NJIT put in this applicant's offer?"
2.0,us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,eligibility,Yes — a relevant accredited bachelor's degree is a published entry route,stage3src:ccb9f08b14e470d16eff,https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What exact duration, stipend, tuition, mandatory-fee, health-insurance, and summer terms would NJIT put in this applicant's offer?"
2.0,us:ipeds:185828:program:phd:ph-d-computer-science,New Jersey Institute of Technology,deadline,December 15 recurring deadline for Fall funding consideration; confirm the Fall 2027 cycle,stage3src:ccb9f08b14e470d16eff,https://cs.njit.edu/admission-requirements-and-financial-support-phd-computer-science-program,,,1,not_in_ledger,reachable,Recurring funding deadline on current page checked 2026-09-11; Fall 2027 not explicitly labeled,verified_single_source,"What exact duration, stipend, tuition, mandatory-fee, health-insurance, and summer terms would NJIT put in this applicant's offer?"
2.0,us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,program,Computer Science PhD,stage3src:4414f629cb5ddd580db9,https://www.khoury.northeastern.edu/apply/phd-apply/,stage3src:75314fc1a0f1db8dc3b8,https://www.khoury.northeastern.edu/phd-programs/khoury-phd-open-house/,2,present,reachable,not_applicable,verified_two_source,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates"
2.0,us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,faculty,Jonathan Bell,stage4src:8d35a74ebcaeee28,https://www.khoury.northeastern.edu/people/,stage4src:d58b393502a5c5b2,https://www.khoury.northeastern.edu/people/jonathan-bell/,2,present,not_checked,not_applicable,verified_two_source,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates"
2.0,us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,funding,College five-year assistantship/fellowship package,stage3src:d626eaeb23b0db22af27,https://devsite.khoury.northeastern.edu/apply/phd-apply/financial-support-for-phd-students/,stage3src:75314fc1a0f1db8dc3b8,https://www.khoury.northeastern.edu/phd-programs/khoury-phd-open-house/,2,present,reachable,not_applicable,verified_two_source,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates"
2.0,us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,eligibility,Yes — four-year undergraduate degree accepted,stage3src:4414f629cb5ddd580db9,https://www.khoury.northeastern.edu/apply/phd-apply/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates"
2.0,us:ipeds:167358:program:phd:computer-science-phd,Northeastern University,deadline,Not verified in frozen evidence,stage3src:4414f629cb5ddd580db9,https://www.khoury.northeastern.edu/apply/phd-apply/,,,1,not_in_ledger,reachable,"Current Khoury page lists December 15, but the reviewed page did not label Fall 2027",verified_single_source,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates"
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,program,Doctor of Philosophy in Computer Science,stage3src:0d5f936b2aa17fd6ee2d,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee?"
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,faculty,Yinzhi Cao,stage4src:e68581d9a551c930,https://www.cs.jhu.edu/faculty/,stage4src:76e8accbcdd305f0,https://www.cs.jhu.edu/faculty/yinzhi-cao/,5,present,not_checked,not_applicable,verified_two_source,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee?"
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,funding,"Department, faculty assistantship, fellowship, or external support with tuition and annual stipend",stage3src:5889e70a8410e28205c4,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/phd-admissions-faqs/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee?"
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,eligibility,Yes — an equivalent bachelor's degree is accepted; a CS degree is not mandatory if core preparation is present,stage3src:0d5f936b2aa17fd6ee2d,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/,stage3src:5889e70a8410e28205c4,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/phd-admissions-faqs/,2,present,reachable,not_applicable,verified_two_source,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee?"
2.0,us:ipeds:162928:program:phd:phd-in-computer-science,Johns Hopkins University,deadline,"December 15, 2026 inferred from the program's recurring Fall-only December 15 deadline; target year is not separately labeled",stage3src:5889e70a8410e28205c4,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/phd-admissions-faqs/,,,1,not_in_ledger,reachable,Current recurring deadline checked 2026-09-11; Fall 2027 label requires confirmation,verified_single_source,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee?"
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,program,Doctor of Philosophy in Computer Science,stage3src:80d38a2a9332ab25506c,https://www.mccormick.northwestern.edu/computer-science/academics/graduate/phd/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee?"
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,faculty,Robby Findler,stage4src:1e6c42f363114b25,https://www.mccormick.northwestern.edu/computer-science/people/faculty/tenure-track.html,stage4src:10b3eeef153108c7,https://www.mccormick.northwestern.edu/research-faculty/directory/profiles/findler-robert.html,4,present,not_checked,not_applicable,verified_two_source,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee?"
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,funding,"First-year Graduate School fellowship followed by research assistantship, teaching assistantship, external fellowship, or department support",stage3src:4c2d4116d295c08dcc49,https://www.mccormick.northwestern.edu/computer-science/resources/student/phd.html,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee?"
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,eligibility,Yes — a master's degree is not required for PhD admission,stage3src:80d38a2a9332ab25506c,https://www.mccormick.northwestern.edu/computer-science/academics/graduate/phd/,stage3src:17ca2d30251838ec5b34,https://www.mccormick.northwestern.edu/computer-science/academics/graduate/admissions/faq.html,2,present,reachable,not_applicable,verified_two_source,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee?"
2.0,us:ipeds:147767:program:phd:phd-in-computer-science,Northwestern University,deadline,"Fall 2027 deadline not yet published; latest standard Fall 2026 deadline was December 1, 2025, with late submission through December 15",stage3src:17ca2d30251838ec5b34,https://www.mccormick.northwestern.edu/computer-science/academics/graduate/admissions/faq.html,,,1,not_in_ledger,reachable,Latest 2026–27 application cycle checked 2026-09-11; Fall 2027 requires reconfirmation,verified_single_source,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee?"
2.0,us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,program,PhD in Computer Science,stage3src:9508571e203f1a6f099d,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer?"
2.0,us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,faculty,Mark Grechanik,stage4src:69b03baad96f0b4d,https://cs.uic.edu/cs-research/research-areas-2/,stage4src:cb0fba9d54d16c9d,https://cs.uic.edu/profiles/mark-grechanik/,5,present,not_checked,not_applicable,verified_two_source,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer?"
2.0,us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,funding,Teaching or research assistantship or fellowship,stage3src:eff4e085335540565edd,https://cs.uic.edu/graduate/admissions/phd/,,,1,not_in_ledger,http_error,not_applicable,verified_single_source,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer?"
2.0,us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,eligibility,Yes — bachelor's in computer science or a closely related field,stage3src:9508571e203f1a6f099d,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,,,1,not_in_ledger,reachable,not_applicable,verified_single_source,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer?"
2.0,us:ipeds:145600:program:phd:phd-in-computer-science,University of Illinois Chicago,deadline,"February 15, 2027 final; December 15, 2026 recommended, inferred from the annual published schedule",stage3src:eff4e085335540565edd,https://cs.uic.edu/graduate/admissions/phd/,,,1,not_in_ledger,http_error,Latest program schedule; Fall 2027 year not explicitly printed,verified_single_source,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer?"
2.0,us:ipeds:170976:program:phd:computer-science-and-engineering-phd,University of Michigan-Ann Arbor,program,Computer Science and Engineering PhD,stage3src:af0aa2d0c49725b3bb4e,https://cse.engin.umich.edu/academics/graduate/admissions/,,,1,not_in_ledger,http_error,not_applicable,verified_single_source,How will the committee weigh the >3.5 recent-two-year record against the 3.35 cumulative GPA?
2.0,us:ipeds:170976:program:phd:computer-science-and-engineering-phd,University of Michigan-Ann Arbor,faculty,Westley Weimer,stage4src:ce3d35f0056f1126,https://cse.engin.umich.edu/people/faculty/,stage4src:8f2ef6b3c6ba50f7,https://eecs.engin.umich.edu/people/weimer-westley/,2,present,not_checked,not_applicable,verified_two_source,How will the committee weigh the >3.5 recent-two-year record against the 3.35 cumulative GPA?
