schema_version,score_evidence_id,program_id,institution_id,institution_name,component,component_score,max_score,rubric_anchor,rubric_anchor_description,supporting_evidence_ids,evidence_completeness,score_confidence,uncertainty_or_conflict,reviewer_or_generating_process,verification_status,calculated_at
2.0,scoreev:45f90de40c4bdb77,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:86fe851a80c71bd603da|stage3src:6235f681577d33f7948a,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:00faa69cb1484b3d,us:ipeds:166629:program:phd:computer-science-phd,us:ipeds:166629,University of Massachusetts-Amherst,application_economics,3,5,moderate_fee_or_possible_waiver,Fee is at most 100 in the stated currency or a plausible but non-guaranteed waiver path exists.,stage3src:86fe851a80c71bd603da|stage3src:6235f681577d33f7948a,partial,medium,Applicable waiver or final Fall 2027 cost is not guaranteed.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:faff589cf6316cb2,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:bfef67e7b45c554c|stage4src:6d713874b2961713|stage4src:38178c0d43953b2f,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:ad359c07b323b8ac,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:bfef67e7b45c554c|stage4src:6d713874b2961713|stage4src:38178c0d43953b2f,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:00a27b07062a147d,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,funding_net_viability,25,25,verified_comprehensive_support,"Direct funding hard gate passes and tuition, living support, duration, and material net-cost coverage are sufficiently documented.",stage3src:e6a9acacafc5855719d7,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:e7dd568fbac3446b,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,eligibility_credential_alignment,10,15,verified_with_material_question,"The route appears formally available, but GPA interpretation, credential equivalency, prerequisites, or direct-entry treatment needs confirmation.",stage3src:8ae4e14e33b8400153c3|stage3src:e6a9acacafc5855719d7|stage3src:e2a6011466308a8ea205,partial,medium,"What are the offer-specific stipend, summer, remaining health-insurance, and mandatory-fee amounts?",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:713c727286b2612e,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:8ae4e14e33b8400153c3|stage3src:e6a9acacafc5855719d7|stage3src:e2a6011466308a8ea205,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:af0bac5c06d7eca9,us:ipeds:174066:program:phd:computer-science-phd,us:ipeds:174066,University of Minnesota-Twin Cities,application_economics,3,5,moderate_fee_or_possible_waiver,Fee is at most 100 in the stated currency or a plausible but non-guaranteed waiver path exists.,stage3src:8ae4e14e33b8400153c3|stage3src:e6a9acacafc5855719d7|stage3src:e2a6011466308a8ea205,partial,medium,Applicable waiver or final Fall 2027 cost is not guaranteed.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:c57c8567189e992a,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:e20faa58e1d61aea|stage4src:92b4d594b9438529|stage4src:4e2a302f8eff8a54,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:500ea51e867d9b1f,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:e20faa58e1d61aea|stage4src:92b4d594b9438529|stage4src:4e2a302f8eff8a54,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:10c6b4de19f5ca53,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:effc2464434d47c91ee3,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:44e742e202b08bdf,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,eligibility_credential_alignment,15,15,verified_alignment,Formal eligibility is verified and no material credential-equivalency question is recorded.,stage3src:f1f6c042888a82aef354|stage3src:effc2464434d47c91ee3|stage3src:f68886ff2befe77e0cc1|stage3src:23b2c18339325fe25d7e,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:a49cf92e69284a07,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:f1f6c042888a82aef354|stage3src:effc2464434d47c91ee3|stage3src:f68886ff2befe77e0cc1|stage3src:23b2c18339325fe25d7e,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:a8cd9f86c15231ca,us:ipeds:233921:program:phd:computer-science-phd,us:ipeds:233921,Virginia Polytechnic Institute and State University,application_economics,3,5,moderate_fee_or_possible_waiver,Fee is at most 100 in the stated currency or a plausible but non-guaranteed waiver path exists.,stage3src:f1f6c042888a82aef354|stage3src:f68886ff2befe77e0cc1|stage3src:23b2c18339325fe25d7e|stage3src:effc2464434d47c91ee3,partial,medium,Applicable waiver or final Fall 2027 cost is not guaranteed.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:e1ea169ff0f60048,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:38ce2896634a104d|stage4src:2091a98f6fa68da4|stage4src:6b6bf269f81d029c,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:9a81b502a49d07ae,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:38ce2896634a104d|stage4src:2091a98f6fa68da4|stage4src:6b6bf269f81d029c,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:b11bfeab7b91bf8b,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:31d029a3e500f2930622,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:771ca3419fc562c8,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,eligibility_credential_alignment,10,15,verified_with_material_question,"The route appears formally available, but GPA interpretation, credential equivalency, prerequisites, or direct-entry treatment needs confirmation.",stage3src:eb9cbc1155255ac27557|stage3src:31d029a3e500f2930622|stage3src:1c77cc70f88821cdf6cd,partial,medium,Confirm exact 2027 stipend and health/fee components in an offer,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:3ea54ebe306487e9,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:eb9cbc1155255ac27557|stage3src:31d029a3e500f2930622|stage3src:1c77cc70f88821cdf6cd,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:d7f8653eae228738,us:ipeds:211440:program:phd:software-engineering-phd,us:ipeds:211440,Carnegie Mellon University,application_economics,5,5,no_fee_or_verified_waiver,No application fee or a clearly applicable waiver is verified.,stage3src:eb9cbc1155255ac27557|stage3src:1c77cc70f88821cdf6cd|stage3src:31d029a3e500f2930622,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:5b2a282b2675d9ff,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:c9714bc3917a04e9|stage4src:26867b0af61ed868|stage4src:7b372d51adb28395|stage4src:2d62e921825ffe92,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:39bba6386dfe6b57,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:c9714bc3917a04e9|stage4src:26867b0af61ed868|stage4src:7b372d51adb28395|stage4src:2d62e921825ffe92,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:a7baa9e742d3734a,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,funding_net_viability,25,25,verified_comprehensive_support,"Direct funding hard gate passes and tuition, living support, duration, and material net-cost coverage are sufficiently documented.",stage3src:d4e7001f87ced1a30c36,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:ab79d0db05698db8,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,eligibility_credential_alignment,10,15,verified_with_material_question,"The route appears formally available, but GPA interpretation, credential equivalency, prerequisites, or direct-entry treatment needs confirmation.",stage3src:06a4e497cd1e8ed3f3a4|stage3src:899eab0d653d496e25a5|stage3src:a5ac70a60405d624bd14|stage3src:f9fab7e1fea53cf63357|stage3src:d4e7001f87ced1a30c36,partial,medium,"What are the 2027-2028 stipend, summer-support, and offer-specific conditions?",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:b1652c0a9a133885,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:06a4e497cd1e8ed3f3a4|stage3src:899eab0d653d496e25a5|stage3src:a5ac70a60405d624bd14|stage3src:f9fab7e1fea53cf63357|stage3src:d4e7001f87ced1a30c36,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:cc9883903e78a13c,us:ipeds:198419:program:phd:computer-science-phd,us:ipeds:198419,Duke University,application_economics,0,5,high_or_unverified_cost,"Fee exceeds 100, a broad waiver is unavailable, or the applicable fee is unverified.",stage3src:06a4e497cd1e8ed3f3a4|stage3src:899eab0d653d496e25a5|stage3src:a5ac70a60405d624bd14|stage3src:f9fab7e1fea53cf63357|stage3src:d4e7001f87ced1a30c36,partial,low,Fee is high or the applicable Fall 2027 amount/waiver remains unverified.,graduate_audit.evidence_scoring:v1,partial_evidence_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:94e26f6ac0dc4f25,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:8d35a74ebcaeee28|stage4src:d58b393502a5c5b2|stage4src:29f97a7b2d74159f,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:955aa251d5e035c5,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:8d35a74ebcaeee28|stage4src:d58b393502a5c5b2|stage4src:29f97a7b2d74159f,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:2a759d91d13459fe,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:d626eaeb23b0db22af27|stage3src:75314fc1a0f1db8dc3b8,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:d425dd5adfc7e3a2,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,eligibility_credential_alignment,15,15,verified_alignment,Formal eligibility is verified and no material credential-equivalency question is recorded.,stage3src:4414f629cb5ddd580db9|stage3src:75314fc1a0f1db8dc3b8,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:8dbc1e70d6a48372,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:4414f629cb5ddd580db9|stage3src:75314fc1a0f1db8dc3b8,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:78cf42047ea8fcdb,us:ipeds:167358:program:phd:computer-science-phd,us:ipeds:167358,Northeastern University,application_economics,0,5,high_or_unverified_cost,"Fee exceeds 100, a broad waiver is unavailable, or the applicable fee is unverified.",stage3src:4414f629cb5ddd580db9|stage3src:75314fc1a0f1db8dc3b8,missing,low,Fee is high or the applicable Fall 2027 amount/waiver remains unverified.,graduate_audit.evidence_scoring:v1,partial_evidence_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:30267c998a0674a4,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,professor_alignment,20,30,one_verified_strong,Exactly one distinct verified strong match.,stage4src:6e95ed23568f0ff4|stage4src:fe99dd269d5f921b|stage4src:f6f2f12c50363cce|stage4src:4f65b2740e89bf02|stage4src:51546782d879f5ab,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:a6e8dd9dbf61f9fe,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,department_program_depth,5,15,one_distinct,Exactly one distinct verified strong match; single-professor dependency is true.,stage4src:6e95ed23568f0ff4|stage4src:fe99dd269d5f921b|stage4src:f6f2f12c50363cce|stage4src:4f65b2740e89bf02|stage4src:51546782d879f5ab,complete,high,Single-professor dependency.,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:4ecf3cd8dd04de26,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,funding_net_viability,20,25,verified_support_with_cost_gaps,"Direct funding hard gate passes, but fees, health, summer, duration, or net amount retains a material gap.",stage3src:ab09639d58eb42d1b745,partial,medium,"One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved.",graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:80530a5c00858116,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,eligibility_credential_alignment,15,15,verified_alignment,Formal eligibility is verified and no material credential-equivalency question is recorded.,stage3src:5d7cfee15aaf2c885642|stage3src:f3a9ad0de37e4e904767|stage3src:6f79c7c7ec7dc4f655d4|stage3src:ab09639d58eb42d1b745,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
2.0,scoreev:23cb60e7b0978859,us:ipeds:157085:program:phd:doctoral-degree-in-computer-science,us:ipeds:157085,University of Kentucky,degree_admissions_alignment,10,10,verified_compatible_route,Exact research route and degree structure are compatible with the applicant's current degree.,stage3src:5d7cfee15aaf2c885642|stage3src:f3a9ad0de37e4e904767|stage3src:6f79c7c7ec7dc4f655d4|stage3src:ab09639d58eb42d1b745,complete,high,,graduate_audit.evidence_scoring:v1,verified_calculation,2026-09-11T01:42:01.638946+00:00
