schema_version,stage3_source_id,candidate_program_id,institution_id,institution_name,claim_categories,exact_claim_supported,source_title,publisher,url,source_path,source_type,official_or_secondary,date_accessed,admissions_cycle,confidence,verification_status,original_source_id,access_note
2.0,stage3src:fc11bb69ba57ab43aaa8,ror:058kzsd48:program:thesis-or-research-master-s:m-sc-computer-science,ror:058kzsd48,Paderborn University,program|research|eligibility|admissions,"Current English Computer Science MSc, research orientation, thesis, and entry pathway.",Computer Science M.Sc.,Paderborn University,https://www.uni-paderborn.de/en/studyoffer/course_of_study/computer-science-master,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:paderborn:program,
2.0,stage3src:fc791c65d9e1d2c1b232,ror:058kzsd48:program:thesis-or-research-master-s:m-sc-computer-science,ror:058kzsd48,Paderborn University,funding|tuition|fees,"No-tuition policy, semester contribution context, estimated monthly living costs, and reliance on external scholarships rather than a universal package.",Finances,Paderborn University International Office,https://www.uni-paderborn.de/en/studies/international-office/degree-students/live-in-paderborn-and-on-campus/finances,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:paderborn:funding,
2.0,stage3src:48c30ed682c2e76f356f,us:ipeds:100706:program:phd:computer-science-ph-d,us:ipeds:100706,University of Alabama in Huntsville,program|research|eligibility|admissions|funding,"Current Computer Science PhD, departmental review and prerequisites, research-interest materials, GTA doctoral restriction, and faculty-level GRA mechanism.",Computer Science Graduate Programs,University of Alabama in Huntsville Department of Computer Science,https://www.uah.edu/science/departments/computer-science/cs-graduate-programs,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uah:program,
2.0,stage3src:86e42615b8a07d37af19,us:ipeds:100706:program:phd:computer-science-ph-d,us:ipeds:100706,University of Alabama in Huntsville,admissions|eligibility|deadline|fees,"General bachelor's-equivalent and 3.0 unconditional standard, USD 60 fee, one-program-at-a-time rule, waiver categories, and latest published deadlines.",Apply for Graduate Admission,University of Alabama in Huntsville,https://www.uah.edu/admissions/graduate/apply-for-admission,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Fall 2026 and Spring 2027 dates checked 2026-09-11,high,official page checked,stage3re13:uah:admissions,
2.0,stage3src:e68d5e2600ca0cca391e,us:ipeds:100706:program:phd:computer-science-ph-d,us:ipeds:100706,University of Alabama in Huntsville,funding|tuition|fees,"Competitive GTA/GRA routes, appointment limits, tuition-and-fee support language, stipend ranges, and absence of a universal award.",Graduate Assistantships,University of Alabama in Huntsville,https://www.uah.edu/admissions/graduate/financial-aid/assistantships,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uah:funding,
2.0,stage3src:121f7235080a82a494f0,us:ipeds:182281:program:phd:doctor-of-philosophy-computer-science,us:ipeds:182281,University of Nevada-Las Vegas,funding|tuition|fees,Competitive Computer Science graduate-assistantship mechanism without a universal funding commitment.,Graduate Assistantships,UNLV Department of Computer Science,https://www.unlv.edu/cs/graduate-assistantships,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:unlv:funding,
2.0,stage3src:57fee12ccd14117c2de1,us:ipeds:182281:program:phd:doctor-of-philosophy-computer-science,us:ipeds:182281,University of Nevada-Las Vegas,program|research|eligibility,"Current Computer Science PhD, post-bachelor track, dissertation structure, and current degree worksheets.",Doctor of Philosophy - Computer Science,"University of Nevada, Las Vegas",https://www.unlv.edu/degree/phd-computer-science,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 materials checked 2026-09-11,high,official page checked,stage3re13:unlv:program,
2.0,stage3src:67515318d9ff6c3e5c56,us:ipeds:182281:program:phd:doctor-of-philosophy-computer-science,us:ipeds:182281,University of Nevada-Las Vegas,admissions|eligibility|deadline|fees|language,"Rare direct-bachelor pathway, GPA references, program deadlines, international application fee, and graduate English framework.",Computer Science Graduate Admissions,UNLV Department of Computer Science,https://www.unlv.edu/cs/admissions,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:unlv:admissions,
2.0,stage3src:374a3c5b708629ae8041,us:ipeds:216339:program:phd:computer-and-information-science-phd,us:ipeds:216339,Temple University,program|research|eligibility|admissions|language|deadline|funding|tuition,"Current PhD structure, bachelor's entry, prerequisites, English minima, GRE status, November 1 deadline, faculty-track admission, and assistantship tuition support.",Computer and Information Science PhD,Temple University 2026-27 Graduate Bulletin,https://bulletin.temple.edu/graduate/scd/cst/computer-information-science-phd/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 bulletin checked 2026-09-11,high,official page checked,stage3re13:temple:program,
2.0,stage3src:a8ba3ed8042a0ef5ef2e,us:ipeds:216339:program:phd:computer-and-information-science-phd,us:ipeds:216339,Temple University,admissions|eligibility|deadline|fees|funding,"Master's not required, Computer Science major not mandatory, adviser-matching model, conflicting January 15 date, fee-waiver statement, and RA/TA support norm.",PhD Frequently Asked Questions,Temple University Department of Computer and Information Sciences,https://cis.temple.edu/academics/graduate/phd_faq/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:temple:faq,
2.0,stage3src:d964607dd047e2d53580,us:ipeds:216339:program:phd:computer-and-information-science-phd,us:ipeds:216339,Temple University,funding|tuition|fees,"Assistantship stipend and tuition treatment, 3.25 consideration and continuation standard, and distinction between tuition and fees.",Graduate Cost and Aid,Temple University Graduate Bulletin,https://bulletin.temple.edu/graduate/cost-aid/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 bulletin checked 2026-09-11,high,official page checked,stage3re13:temple:funding,
2.0,stage3src:52326daa6397213296c1,us:ipeds:217484:program:phd:computer-science-ph-d,us:ipeds:217484,University of Rhode Island,program|research|eligibility,Current Computer Science PhD and research-doctorate route.,Computer Science Ph.D.,University of Rhode Island,https://www.uri.edu/programs/program/computer-science-ph-d/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uri:program,
2.0,stage3src:75a47cf955924a25dc93,us:ipeds:217484:program:phd:computer-science-ph-d,us:ipeds:217484,University of Rhode Island,admissions|eligibility|deadline|fees|language,"Current Computer and Statistical Sciences PhD deadline listing, graduate admission process, GPA expectation, and international English framework.",Apply to the Graduate School,University of Rhode Island Graduate School,https://web.uri.edu/graduate-school/apply/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:uri:admissions,
2.0,stage3src:a628e2bffc2f1813b1b6,us:ipeds:217484:program:phd:computer-science-ph-d,us:ipeds:217484,University of Rhode Island,funding|tuition|fees,"2026-27 full-time assistantship stipend, 100% tuition remission, 40% standard-fee coverage, health-insurance waiver, and uncovered cost boundaries.",Graduate Assistantships,University of Rhode Island Graduate School,https://web.uri.edu/graduate-school/funding/assistantships/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 terms checked 2026-09-11,high,official page checked,stage3re13:uri:funding,
2.0,stage3src:602870151876149ca4e9,us:ipeds:228796:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:228796,The University of Texas at El Paso,program|research|eligibility|admissions,"Current PhD, bachelor's-entry 72-hour structure, required preparation, dissertation research, and degree requirements.","Computer Science, PhD",UTEP 2026-27 Graduate Catalog,https://catalog.utep.edu/grad/college-of-engineering/computer-science/computer-science-phd/,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 catalog checked 2026-09-11,high,official page checked,stage3re13:utep:program,
2.0,stage3src:8fa93c62251f95c36cf1,us:ipeds:228796:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:228796,The University of Texas at El Paso,admissions|deadline|language|fees,"Current program deadlines and materials, GRE-optional status, international English standards, degree-equivalency rules, and application fee.",Graduate Degrees and Programs,The University of Texas at El Paso Graduate School,https://www.utep.edu/graduate/future-students/degrees-and-programs.html,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,2026-27 table checked 2026-09-11,high,official page checked,stage3re13:utep:admissions,
2.0,stage3src:f536e5a95a3e869e5e94,us:ipeds:228796:program:phd:doctor-of-philosophy-in-computer-science,us:ipeds:228796,The University of Texas at El Paso,funding|tuition|fees,"Published doctoral tuition-remission mechanism and its appointment, enrollment, GPA, and milestone conditions.",Doctoral Tuition Remission,The University of Texas at El Paso Graduate School,https://www.utep.edu/graduate/funding/doctoral-tuition-remission.html,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:utep:funding,
2.0,stage3src:55aa0267feee053c6494,us:ipeds:232982:program:phd:computer-science-ph-d,us:ipeds:232982,Old Dominion University,program|research|funding|tuition,"Current PhD, guaranteed initial assistantship, first-year stipend reference, 100% tuition waiver, and typical summer GRA range.",Computer Science (Ph.D.),Old Dominion University,https://www.odu.edu/academics/programs/doctoral/computer-science,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:odu:program,
2.0,stage3src:64c2b7b8d2c43638d41a,us:ipeds:232982:program:phd:computer-science-ph-d,us:ipeds:232982,Old Dominion University,funding|tuition|fees,Departmental assistantship administration and published full tuition-waiver treatment for PhD appointments.,Graduate Assistantships,Old Dominion University Department of Computer Science,https://www.odu.edu/computer-science/academics/graduate/assistantships,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:odu:funding,
2.0,stage3src:d8ad9fa155b04d32d8b0,us:ipeds:232982:program:phd:computer-science-ph-d,us:ipeds:232982,Old Dominion University,admissions|eligibility|language|deadline,"Bachelor's or master's entry, international deadline, English minima, holistic review, prerequisite review, and faculty-contact expectation.",Ph.D. Admissions,Old Dominion University Department of Computer Science,https://www.odu.edu/computer-science/academics/graduate/phd/admissions,data/raw/pass2/stage_03_reentry_13.json,official web page,official,2026-09-11,Current page checked 2026-09-11,high,official page checked,stage3re13:odu:admissions,
