schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry01:utah:research,us:ipeds:230764,Computing PhD,official_program_or_department_signal,research fit,Research Areas,University of Utah,https://www.cs.utah.edu/research/research-areas/,2026-09-10,"Official page identifies programming languages, software engineering, verification, testing, and fuzzing research.",Faculty-level fit remains unverified.
2.0,reentry01:ucsd:program-research,us:ipeds:110680,Computer Science and Engineering PhD,official_program_or_department_signal,program and research fit,Doctoral Programs in Computer Science and Engineering,University of California-San Diego,https://cse.ucsd.edu/graduate/doctoral-programs-computer-science-and-engineering,2026-09-10,Official page identifies the PhD and relevant research areas.,Current supervisor availability remains unverified.
2.0,reentry01:ucsd:admissions,us:ipeds:110680,Computer Science and Engineering PhD,official_program_or_department_signal,entry route,Graduate Admissions,University of California-San Diego,https://cse.ucsd.edu/graduate/admissions,2026-09-10,Department states a master's is not required for PhD admission.,Applicant-specific international requirements require verification.
2.0,reentry01:ucsd:funding,us:ipeds:110680,Computer Science and Engineering PhD,underrepresented_route_search,preliminary funding,Financial Opportunities,University of California-San Diego,https://cse.ucsd.edu/graduate/financial-opportunities,2026-09-10,Official page describes first-year PhD support and typical later funding sources.,Multi-year and offer-specific terms require verification.
2.0,reentry01:duke:program,us:ipeds:198419,Computer Science PhD,official_program_or_department_signal,program route,Computer Science PhD,Duke University,https://cs.duke.edu/graduate/phd,2026-09-10,Official department page identifies the CS PhD route.,Cycle and applicant-specific requirements require verification.
2.0,reentry01:duke:research,us:ipeds:198419,Computer Science PhD,official_program_or_department_signal,research fit,Programming Languages,Duke University,https://cs.duke.edu/research/programming-languages,2026-09-10,"Official page identifies program analysis, formal methods, security, and privacy research.",Current supervision capacity remains unverified.
2.0,reentry01:duke:funding,us:ipeds:198419,Computer Science PhD,underrepresented_route_search,preliminary funding,PhD Financial Support,Duke University,https://cs.duke.edu/graduate/phd/financial,2026-09-10,"Department describes five years of tuition, fees, insurance, and stipend support.",Offer-specific terms require verification.
2.0,reentry01:brown:program,us:ipeds:217156,Computer Science PhD,official_program_or_department_signal,program route,Doctoral Program,Brown University,https://cs.brown.edu/degrees/doctoral/,2026-09-10,Official department page identifies the CS doctoral route.,Cycle-specific requirements require verification.
2.0,reentry01:brown:research,us:ipeds:217156,Computer Science PhD,lab_or_center_signal,research fit,Systems at Brown,Brown University,https://systems.cs.brown.edu/,2026-09-10,"Official research group describes distributed systems, security, correctness, and automation work.",Faculty-level supervision remains unverified.
2.0,reentry01:brown:funding,us:ipeds:217156,Computer Science PhD,underrepresented_route_search,preliminary funding,Doctoral Program FAQ,Brown University,https://cs.brown.edu/degrees/doctoral/faq/,2026-09-10,Official FAQ describes PhD funding including for international students.,Duration and offer-specific terms require verification.
2.0,reentry01:uva:program-funding,us:ipeds:234076,Computer Science PhD,official_program_or_department_signal,program and preliminary funding,PhD in Computer Science,University of Virginia-Main Campus,https://engineering.virginia.edu/department/computer-science/academics/graduate-programs/phd-computer-science,2026-09-10,Official page identifies the PhD route and describes usual first-year RA support.,Usual support is not treated as a universal or multi-year guarantee; automated retrieval returned HTTP 403 during re-entry QA.
2.0,reentry01:uva:research,us:ipeds:234076,Computer Science PhD,official_program_or_department_signal,research fit,Computer Science Research,University of Virginia-Main Campus,https://engineering.virginia.edu/department/computer-science/cs-research,2026-09-10,"Official page identifies security, software engineering, systems, and AI research.",Current faculty supervision remains unverified; automated retrieval returned HTTP 403 during re-entry QA.
2.0,reentry01:sfu:program,ca:dli:O18781994282,Computing Science Master of Science (Thesis),research_masters_or_scholarship_search,program route,Master of Science (Thesis),Simon Fraser University,https://www.sfu.ca/fas/study/future-graduates/programs/master-science-thesis.html,2026-09-10,Official page identifies the research-intensive thesis MSc route.,Cycle and applicant-specific entry requirements require verification.
2.0,reentry01:sfu:research,ca:dli:O18781994282,Computing Science Master of Science (Thesis),official_program_or_department_signal,research fit,Computing Science Research Areas,Simon Fraser University,https://www2.cs.sfu.ca/research/,2026-09-10,"Official page identifies formal verification, static analysis, model checking, software engineering, security, and systems work.",Faculty-level fit and availability remain unverified.
2.0,reentry01:sfu:funding,ca:dli:O18781994282,Computing Science Master of Science (Thesis),research_masters_or_scholarship_search,preliminary funding,Financial Support and Scholarships,Simon Fraser University,https://www.sfu.ca/fas/computing/current-students/graduates/financial-support-scholarships.html,2026-09-10,School describes a two-year guaranteed minimum for thesis MSc students.,Published conditions and offer-specific net support require verification.
2.0,reentry01:chalmers:program,ror:040wg7k59,Computer Science MSc,research_masters_or_scholarship_search,program route and research fit,Computer Science MSc,Chalmers University of Technology,https://www.chalmers.se/en/education/find-masters-programme/computer-science-msc/,2026-09-10,"Official current page identifies the two-year English MSc, research specialties, application window, and research thesis.",Applicant-specific eligibility and funding require Stage 3 verification.
2.0,reentry01:chalmers:research,ror:040wg7k59,Computer Science MSc,lab_or_center_signal,research fit,Logic and Types,Chalmers University of Technology,https://www.chalmers.se/en/departments/cse/our-research/computing-science/logic-and-types/,2026-09-10,"Official research page identifies logic, types, and formal methods work.",Supervisor fit and availability remain unverified.
