schema_version,evidence_rank,score_band,program_id,institution_id,institution_name,country,region,program_name,degree_type,official_program_url,stage3_verification_status,professor_alignment_score,department_program_depth_score,funding_net_viability_score,eligibility_credential_alignment_score,degree_admissions_alignment_score,application_economics_score,overall_score,component_score_pattern,funding_hard_gate,professor_hard_gate,eligibility_hard_gate,degree_structure_hard_gate,coursework_exception_gate,all_hard_gates_pass,hard_gate_failures,distinct_verified_strong_matches,faculty_depth_points,single_professor_dependency,funding_status,application_fee,fee_currency,admission_plausibility,admission_plausibility_rationale,published_minimum_gpa,applicant_cumulative_gpa,applicant_recent_two_year_gpa,admission_probability,evidence_completeness,score_confidence,unresolved_conflicts,ranking_status,score_evidence_ids,generated_by,scored_at
2.0,4,65-79,us:ipeds:162928:program:phd:phd-in-computer-science,us:ipeds:162928,Johns Hopkins University,United States,us,Doctor of Philosophy in Computer Science,PhD,https://www.cs.jhu.edu/academic-programs/graduate-studies/phd-program/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,All full-time CS PhD students in good standing are guaranteed full funding,75,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No minimum admission GPA is published,3.35,>3.5,,partial,medium,"What maximum duration, fee, summer, and Fall 2027 stipend terms govern the good-standing funding guarantee? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:792f0c7f509e96e7|scoreev:92d8805952a6e1f2|scoreev:27651915e285a2e2|scoreev:0f7c58cd337b5282|scoreev:910ce2aacd7d0334|scoreev:0949d2beb60bd09d,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:147767:program:phd:phd-in-computer-science,us:ipeds:147767,Northwestern University,United States,us,Doctor of Philosophy in Computer Science,PhD,https://www.mccormick.northwestern.edu/computer-science/academics/graduate/phd/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,The department guarantees doctoral funding through the fifth year,95,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No minimum PhD admission GPA is published,3.35,>3.5,,partial,medium,"What stipend, summer, health-insurance, and mandatory-fee terms will accompany the five-year Fall 2027 guarantee? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:24dbf90efa2289f8|scoreev:5e6dc43fee93dae2|scoreev:1ebaba55642b77c3|scoreev:2e1aa7b86c3d07d5|scoreev:a5f950cb8adc0203|scoreev:42f9127e9618f56f,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:100663:program:phd:ph-d-in-computer-science,us:ipeds:100663,University of Alabama at Birmingham,United States,us,Ph.D. in Computer Science,PhD,https://www.uab.edu/cas/computerscience/graduate-programs/doctoral-program,conditional,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,"The majority of admitted doctoral students receive RA or TA support, but support is not universal",60,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard cutoff; a typical admitted student has about a 3.5 GPA in the undergraduate computer-science major,3.35,>3.5,,partial,medium,"Will a Fall 2027 offer guarantee renewable stipend, full tuition, mandatory fees, health insurance, and summer support? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:4597376d471c441a|scoreev:651182c63140c25d|scoreev:6d64d13e77cdbc2b|scoreev:a8f0747e7de608ed|scoreev:a71d106cab8edfba|scoreev:83c34695a311fa65,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:145600:program:phd:phd-in-computer-science,us:ipeds:145600,University of Illinois Chicago,United States,us,PhD in Computer Science,PhD,https://catalog.uic.edu/gcat/colleges-schools/engineering/cs/phd/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,The department guarantees a funded appointment for the first five years of the PhD,100 international credential-evaluation fee; Fall 2026 USD 70 application fee was waived by the recommended date,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.50/4.00 for the final 60 semester hours,3.35,>3.5,,partial,medium,"What residual fees, health cost, summer stipend, and continuation terms will appear in the individual Fall 2027 offer? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:b22b0ec2235f1e2c|scoreev:75187fdab4f7cf3b|scoreev:465453044faaa68c|scoreev:7d40e2323c168cbc|scoreev:d4a99d26552ac554|scoreev:4447d86fb92c3892,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:145637:program:phd:computer-science-phd,us:ipeds:145637,University of Illinois Urbana-Champaign,United States,us,Computer Science PhD,PhD,https://catalog.illinois.edu/graduate/engineering/computer-science-phd/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,Catalog describes five years of eligible appointments with stipend and tuition waiver,90,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.0/4.0 over the last two undergraduate years; 3.40 is recommended by the program,3.35,>3.5,,partial,medium,"How will the committee weigh the stronger recent-two-year record against the 3.35 cumulative GPA and 3.40 recommendation? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:7a79a5755d399377|scoreev:d7cb92b182fa1774|scoreev:a48414d96146598e|scoreev:9b74f6c1fdd5b401|scoreev:eeee36762abf19ea|scoreev:434ec2ab5a4b5a1f,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:170976:program:phd:computer-science-and-engineering-phd,us:ipeds:170976,University of Michigan-Ann Arbor,United States,us,Computer Science and Engineering PhD,PhD,https://cse.engin.umich.edu/academics/graduate/admissions/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,"CSE guarantees full support for admitted PhD students for five years from bachelor's entry, subject to progress and program conditions",90 international / 75 domestic,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No hard minimum; successful applicants typically 3.5+,3.35,>3.5,,partial,medium,"How will the committee weigh the >3.5 recent-two-year record against the 3.35 cumulative GPA? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:f07790e19f9572fc|scoreev:434641af49b5c979|scoreev:f7ef37ee85341d38|scoreev:389fe7526b0b07d5|scoreev:c2c2bda15af19745|scoreev:a1299865b1186d14,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,4,65-79,us:ipeds:230764:program:phd:computing-phd,us:ipeds:230764,University of Utah,United States,us,Computing PhD,PhD,https://www.cs.utah.edu/graduate/academic-programs/ms-and-phd-programs/,retained,20,5,20,10,10,3,68,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:3/5,true,true,true,true,true,true,,1,5,true,PhD students receive financial support throughout the graduate career while making good progress,65,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,Not verified on the captured school pages,3.35,>3.5,,partial,medium,"What is the correct Fall 2027 deadline, and will the offer specify full first-year appointment and differential-fee coverage? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Applicable waiver or final Fall 2027 cost is not guaranteed.",eligible_for_evidence_ranking,scoreev:11ada9dc6bdcc746|scoreev:ae16fddc7329eee2|scoreev:170d71b2f4c6d059|scoreev:97aff0fe70fc4e18|scoreev:793a6fca38603e9a|scoreev:3f6310daeb2d5695,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,5,65-79,us:ipeds:217156:program:phd:computer-science-phd,us:ipeds:217156,Brown University,United States,us,Computer Science PhD,PhD,https://cs.brown.edu/degrees/doctoral/,retained,20,5,20,10,10,0,65,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,"All PhD students, including international students, receive financial support",Not verified,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,No formal program minimum published,3.35,>3.5,,partial,low,"What are the exact guaranteed duration, 2027-2028 stipend, summer, and mandatory-fee terms? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:89d2f56e8b5e6d94|scoreev:2b1b80e203161ecd|scoreev:1a3bd657d9af619f|scoreev:8caa371a93b5107f|scoreev:250be9863712bd66|scoreev:db017526795ebc91,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,5,65-79,us:ipeds:110671:program:phd:phd-in-computer-science,us:ipeds:110671,University of California-Riverside,United States,us,Ph.D. in Computer Science,PhD,https://www1.cs.ucr.edu/graduate/programs/computer-science-phd,conditional,20,5,20,10,10,0,65,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,"Packages of one to five years may be offered, but the department states that not all PhD students are funded",155,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.0/4.0 graduate minimum; 3.2 over the final two years is described as desirable,3.35,>3.5,,partial,low,"Will the Fall 2027 offer fund the full expected duration and cover tuition, fees, insurance, and summers? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:3f1c766767ab15aa|scoreev:b22243a8ff7069e2|scoreev:8643a7d5f294f72a|scoreev:46a1862c4cbaaa14|scoreev:9a9f2a870cfdf17e|scoreev:8f1617601f6b0433,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,5,65-79,ca:dli:O19305471522:program:thesis-or-research-master-s:master-of-applied-science-in-electrical-and-computer-engineering,ca:dli:O19305471522,University of Waterloo,Canada,canada,Master of Applied Science in Electrical and Computer Engineering,Thesis or research master's,https://uwaterloo.ca/electrical-computer-engineering/master-applied-science-masc,retained,20,5,20,10,10,0,65,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,Guaranteed department minimum for all admitted domestic and international MASc students,Not verified on the ECE pages checked,CAD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,75% overall or equivalent in a relevant four-year honours bachelor's for applicants educated outside Canada,3.35,>3.5,,partial,low,"After international tuition and living costs, is the guaranteed CAD 18,000 plus any supervisor top-up financially viable? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:d9f710f7bb03913c|scoreev:4e0a1e29c4413217|scoreev:de41ace2a1f45cbf|scoreev:be502912d30765f9|scoreev:0da8813d89520768|scoreev:ae57099b79774275,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,5,65-79,ca:dli:O19361109242:program:thesis-or-research-master-s:computer-science-msc-thesis-option,ca:dli:O19361109242,York University,Canada,canada,Master of Science in Computer Science — Thesis Option,Thesis or research master's,https://lassonde.yorku.ca/academics/graduate-program-in-computer-science,retained,20,5,20,10,10,0,65,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:20/25|eligibility_credential_alignment:10/15|degree_admissions_alignment:10/10|application_economics:0/5,true,true,true,true,true,true,,1,5,true,Lassonde describes a guaranteed package for qualified thesis/dissertation students; every full-time non-AI thesis/project master's student is automatically considered for support over five terms,130,CAD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,B+ in the last two years of study,3.35,>3.5,,partial,low,"What will the Fall 2027 offer's net amount be after international tuition, ancillary fees, taxes, and health costs? | Single-professor dependency. | One or more duration, tuition, fee, health, summer, or net-cost terms remain unresolved. | Fee is high or the applicable Fall 2027 amount/waiver remains unverified.",eligible_for_evidence_ranking,scoreev:2502f7f775d5e08f|scoreev:a8452913d903ccbe|scoreev:8f412a399cbecbd5|scoreev:925add8623ffbb97|scoreev:2942c749bd5e197f|scoreev:e652f3e4a7330e68,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
2.0,,65-79,us:ipeds:153603:program:phd:computer-science-phd,us:ipeds:153603,Iowa State University,United States,us,Computer Science PhD,PhD,https://www.cs.iastate.edu/graduate-studies/phd-application-requirements,conditional,20,5,10,15,10,5,65,professor_alignment:20/30|department_program_depth:5/15|funding_net_viability:10/25|eligibility_credential_alignment:15/15|degree_admissions_alignment:10/10|application_economics:5/5,false,true,true,true,true,false,funding,1,5,true,Selected admitted PhD students receive two academic years of TA support with full tuition and health; years 3–5 and summers are usually RA but advisor-dependent,0,USD,Insufficient evidence,Published minimums and formal eligibility do not calibrate admission chances; no official cohort/selectivity evidence is recorded.,3.0/4.0 typical Graduate College baseline,3.35,>3.5,,partial,low,Can the department describe a fallback if RA support is unavailable in years 3–5 or summer? | Single-professor dependency. | Official funding evidence exists but does not prove a credible program-wide package or full scholarship.,gated_out; diagnostic score only,scoreev:b26c80e8905d3f75|scoreev:0a5457173b38e62e|scoreev:039e3a0d9c4d466e|scoreev:58db8d6e36eed1bb|scoreev:64f05a8cb8a023e7|scoreev:0c2b1cb6221a5d77,graduate_audit.evidence_scoring:v1,2026-09-11T06:33:20.324825+00:00
