schema_version,source_id,institution_id,program_name,discovery_path,evidence_role,title,publisher,url,accessed_date,evidence_summary,limitations
2.0,reentry11:wyoming-cs:program,us:ipeds:240727,PhD in Computer Science,official_program_or_department_signal,"exact doctorate, research fit, and broad entry signal",Computer Science MS and PhD,University of Wyoming,https://www.uwyo.edu/uw/degree-programs/computer-science-ms-phd.html,2026-09-11,"Official degree page confirms the Computer Science PhD, bachelor's-level preparation, relevant formal-methods and systems research, and majority-student support language.",The broad entry and support statements require reconciliation with departmental rules and do not prove an offer.
2.0,reentry11:wyoming-cs:admissions,us:ipeds:240727,PhD in Computer Science,research_masters_or_scholarship_search,departmental admission conflict and assistantship benefits,Graduate Admissions,University of Wyoming,https://www.uwyo.edu/eecs/graduate/admissions.html,2026-09-11,"Official department page describes graduate admission and teaching- and research-assistantship stipend and waiver mechanisms, but includes narrower direct-PhD wording.","The entry-language conflict and applicant-specific appointment, renewal, and net-cost terms require Stage 3 resolution."
2.0,reentry11:trent-amqm:program,ca:dli:O19395164223,MSc in Applied Modelling and Quantitative Methods — Thesis Stream,official_program_or_department_signal,"exact thesis route, prerequisites, and research fit",Applied Modelling and Quantitative Methods — Thesis Stream,Trent University,https://www.trentu.ca/graduatestudies/program/applied-modelling-quantitative-methods-ma-or-msc/thesis-stream,2026-09-11,"Official program page confirms the MSc thesis stream, quantitative and programming preparation, supervisor requirement, interdisciplinary research, and annual funding signal.","Applicant degree equivalency, supervisor commitment, admission, and net international cost are unresolved."
2.0,reentry11:trent-amqm:funding,ca:dli:O19395164223,MSc in Applied Modelling and Quantitative Methods — Thesis Stream,research_masters_or_scholarship_search,research-master funding range and international boundary,Funding,Trent University,https://www.trentu.ca/graduatestudies/funding-tuition/funding,2026-09-11,Official Graduate Studies page publishes two-year funding ranges for eligible research master's students and notes international scholarship offsets.,"Eligibility, exact award, tuition differential, fees, and complete living-cost viability require applicant-specific verification."
2.0,reentry11:waterloo-syde:program,ca:dli:O19305471522,MASc in Systems Design Engineering,official_program_or_department_signal,"exact research master's, prerequisites, and thesis",Systems Design Engineering — MASc,University of Waterloo,https://uwaterloo.ca/future-graduate-students/programs/by-faculty/engineering/systems-design-engineering-master-applied-science-masc,2026-09-11,"Official program page confirms the research MASc, expected duration, engineering and mathematics preparation, supervisor requirement, and thesis.","Degree equivalency, admission, supervisor capacity, and applicant-specific net cost remain unresolved."
2.0,reentry11:waterloo-syde:funding,ca:dli:O19305471522,MASc in Systems Design Engineering,research_masters_or_scholarship_search,minimum MASc support and supervisor boundary,Future Students FAQ,University of Waterloo,https://uwaterloo.ca/systems-design-engineering/graduate-studies/future-students/faq,2026-09-11,Official department FAQ states a guaranteed minimum annual funding level for incoming full-time MASc students over two years and confirms that a supervisor is required.,The published minimum does not by itself establish international tuition coverage or living-cost sufficiency.
2.0,reentry11:concordia-cyber:program,ca:dli:O19359011007,Cybersecurity Engineering (MASc),official_program_or_department_signal,"exact research master's, fit, eligibility, and preliminary funding",Cybersecurity Engineering (MASc),Concordia University,https://www.concordia.ca/academics/graduate/cybersecurity-engineering-masc.html,2026-09-11,"Official program page confirms the two-year thesis MASc, accepted degree fields, applied secure-systems research, and generally available thesis-student funding packages.","Generally available is not guaranteed; applicant eligibility, advisor commitment, amount, duration, and net cost require verification."
2.0,reentry11:concordia-cyber:labs,ca:dli:O19359011007,Cybersecurity Engineering (MASc),lab_or_center_signal,current cybersecurity and intelligent-systems laboratory signal,GCS-CIISE Research Labs,Concordia University,https://www.concordia.ca/ginacody/research/centres/gcs-cise-research-labs.html,2026-09-11,"Official engineering research page identifies laboratories working in cybersecurity, secure systems, and related intelligent-systems research.","A laboratory listing does not establish supervisor authority, capacity, or an open funded position."
2.0,reentry11:pisa-cs:program,ror:03ad39j10,Master's Degree in Computer Science,official_program_or_department_signal,"exact master's, software curriculum, prerequisites, and dissertation",Master's Degree in Computer Science,University of Pisa,https://www.unipi.it/en/education/courses/master-degree/computer-science-wif-lm-en/,2026-09-11,"Official university page confirms the English two-year MSc, Foundations of Software curriculum, verification coursework, dissertation, credit prerequisites, and B2 English requirement.","Foreign-degree equivalency, selection, cycle terms, and applicant admission require Stage 3 verification."
2.0,reentry11:pisa-cs:dsu,ror:03ad39j10,Master's Degree in Computer Science,research_masters_or_scholarship_search,current regional scholarship benefits and conditions,DSU Scholarship,University of Pisa,https://www.unipi.it/en/education/registration/enrolment-and-registration/enrolment-for-international-students/dsu-scholarship-university-of-pisa/,2026-09-11,"Official university page describes a nationality-open DSU scholarship route with tuition exemption, housing or rent support, meals, and monetary assistance under merit and financial conditions.","The scholarship is competitive and annual; Nigerian documentation, timing, selection, renewal, and residual costs remain unresolved."
2.0,reentry11:florence-sst:program,ror:04jr1s763,MSc in Software: Science and Technology,official_program_or_department_signal,exact software master's and research fit,Software: Science and Technology,University of Florence,https://www.unifi.it/en/study-us/degree-programs/second-cycle-degree/software-science-and-technology,2026-09-11,"Official university page confirms the current English two-year MSc and its software testing, reliability, performance, security, cyber-physical-systems, and thesis components.","Foreign-degree equivalency, applicant selection, cycle terms, and thesis-supervisor fit remain unresolved."
2.0,reentry11:florence-sst:scholarships,ror:04jr1s763,MSc in Software: Science and Technology,research_masters_or_scholarship_search,regional and university scholarship routes,Scholarships and Grants,University of Florence,https://www.unifi.it/en/study-us/university-life/opportunities-and-experiences/scholarships-and-grants/scholarships,2026-09-11,Official university page identifies DSU Toscana and other scholarship and grant mechanisms available to students.,"A listed opportunity is not an award; nationality, income documentation, benefits, renewal, timing, and net cost require verification."
2.0,reentry11:camerino-cs:program,ror:0005w8d69,Master of Science in Computer Science,official_program_or_department_signal,"exact English master's, curricula, and research route",Computer Science,Università di Camerino,https://sst.unicam.it/corsi/computer-science,2026-09-11,"Official School page confirms the English two-year, 120-CFU Computer Science MSc and its software-development and cybersecurity curriculum options and doctoral progression.","The page mixes current and earlier curriculum labels; exact 2027 offerings, degree equivalency, admission, and supervisor fit require verification."
2.0,reentry11:camerino-cs:scholarships,ror:0005w8d69,Master of Science in Computer Science,research_masters_or_scholarship_search,current merit and means-tested scholarship mechanisms,Scholarships,Università di Camerino,https://www.unicam.it/futuro-studente/vuoi-iscriverti/borse-di-studio,2026-09-11,Official university page describes a current merit scholarship for first-year two-year master's entrants and ERDIS awards based on merit and income.,"Awards are selective and annual; international documentation, eligibility, benefit composition, renewal, and net cost remain unresolved."
