Priority,University,Program,Department,Contact Name,Contact Role,Official Email,Question to Resolve,Why It Matters,Already Contacted?,Date Contacted,Response,Follow-Up Date,Outcome,Notes
,University of Michigan-Ann Arbor,Computer Science and Engineering PhD,,CSE Graduate Admissions,Program admissions,csegradstaff@umich.edu,How will the committee weigh the >3.5 recent-two-year record against the 3.35 cumulative GPA?,,,,,,,
,William & Mary,Computer Science PhD,,CS Graduate Program,Program admissions,gradinfo@cs.wm.edu,How many years of support are guaranteed and are summer and health insurance included?,,,,,,,
,University of California-Davis,Computer Science PhD,,Computer Science Graduate Group,Program admissions,csgradadmit@ucdavis.edu,"Can the graduate group guarantee five years of tuition, stipend, health, and summer support in writing?",,,,,,,
,Purdue University-Main Campus,Computer Science PhD,,CS Graduate Information,Required admissions contact,csgradinfo@purdue.edu,Would a Fall 2027 offer include a multi-year support commitment?,,,,,,,
,Northeastern University,Computer Science PhD,,Khoury PhD Admissions,Program admissions,khoury-phd@northeastern.edu,"Confirm Fall 2027 deadline, fee, and summer-support mechanics when the cycle page updates",,,,,,,
,Iowa State University,Computer Science PhD,,CS Graduate Admissions,Program admissions,csadmissions@iastate.edu,Can the department describe a fallback if RA support is unavailable in years 3–5 or summer?,,,,,,,
,University of Nebraska-Lincoln,Computer Science PhD,,Tori Kimminau,Graduate program coordinator,tori.kimminau@unl.edu,"Can a bachelor's-only applicant be admitted directly, and what support is guaranteed?",,,,,,,
,The University of Texas at Dallas,Computer Science PhD,,Shyam Karrah,Prospective student contact,skarrah@utdallas.edu,Obtain an official last-60-hour GPA calculation and written funding terms,,,,,,,
,Vanderbilt University,Computer Science PhD,,Melissa Harrell,PhD Graduate Program Coordinator,CS.PhD.Admin@Vanderbilt.edu,Confirm duration and summer-support language in the Fall 2027 offer,,,,,,,
,University of Notre Dame,Computer Science and Engineering PhD,,Taeho Jung,Director of Graduate Studies,cse-grad-info@nd.edu,Confirm guaranteed duration in the admission offer and whether the December 15 date is unchanged for Fall 2027,,,,,,,
,Washington University in St Louis,Computer Science PhD,,CSE Graduate Office,Program admissions,,Confirm deadline/fee and multi-year/summer terms with CSE Graduate Admissions,,,,,,,
,Case Western Reserve University,Computer Science PhD,,Computer and Data Sciences Student Affairs,Program contact,cdsecsestudentaffairs@case.edu,"Would the program issue a full multi-year funding offer, and is GRE still required for Fall 2027?",,,,,,,
,Rochester Institute of Technology,Computing and Information Sciences PhD,,RIT Graduate Admissions,Admissions office,gradinfo@rit.edu,"Confirm guaranteed package duration, health, summer, and whether the advertised openings are for Fall 2027",,,,,,,
