existing_calendar_school,previous_category,survived_new_audit,new_status,change,reason,contradictory_calendar_instructions
Virginia Tech,Reach,Yes,Survived — Core,Retained,The policy is effective from Fall 2026 but excludes summers and leaves some mandatory fees to the student.,Preserved as prior context; current source-backed audit controls the recommendation.
Auburn University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Tulane University,PhD faculty fit,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Texas at San Antonio,Core funded PhD,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Colorado School of Mines,Core funded-only PhD,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Houston,Core funded PhD,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Wyoming,Core funded-only PhD,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
New Jersey Institute of Technology,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
North Dakota State University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Kansas State University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Boise State University,Funding inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Concordia University,Direct-entry eligibility hold,Yes,Survived — Reserve,Retained,Supervisor match is mandatory and funding is not quantified or guaranteed publicly,Preserved as prior context; current source-backed audit controls the recommendation.
Old Dominion University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Texas State University,Funding-gap inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Wichita State University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Texas Rio Grande Valley,Core funded PhD,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Florida International University,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Texas at El Paso,Funding inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of North Carolina at Greensboro,Faculty inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Memphis,Funding inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Maynooth University,2027 funded-position inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Limerick,2027 funded-position inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Lancaster University,International studentship inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Louisiana at Lafayette,Conditional adviser and funding,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Massachusetts Amherst,Lottery/reach,Yes,Survived — Core,Retained,Funding guarantee applies through offer-letter terms and includes conditions,Preserved as prior context; current source-backed audit controls the recommendation.
University of Arizona,GPA hold,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Carleton University,Funding inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
York University,Funded thesis MSc,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Kent State University,Assistantship-dependent thesis MS,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Saskatchewan,Priority funded research MSc,Yes,Survived — Core,Retained,Living component is modest and some funding sources impose an 80% admission GPA condition,Preserved as prior context; current source-backed audit controls the recommendation.
University of Alberta,Reach funded research MSc,No,Investigate Further,Downgraded or removed,"Admissions deadline, funding floor, and net international support remain unresolved due incomplete department-page access",Preserved as prior context; current source-backed audit controls the recommendation.
University of Calgary,Priority funded research MSc,Yes,Survived — Core,Retained,"$24,000 base minimum may be tight before non-differential tuition and fees",Preserved as prior context; current source-backed audit controls the recommendation.
University of Luxembourg,Scholarship-dependent master's,No,Do Not Apply,Downgraded or removed,Master's required; current funded vacancy is not a 2027 route,Preserved as prior context; current source-backed audit controls the recommendation.
University of Manitoba,Supervisor-funded research MSc,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Mississippi,Assistantship-dependent thesis MS,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Gwangju Institute of Science and Technology,Out of current geographic scope,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Johannes Kepler University Linz,Master's deadline watch,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
Memorial University of Newfoundland,Supervisor-funded research MSc,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
University of Victoria,Funding inquiry,Yes,Survived — Reserve,Retained,"No numeric, duration-specific guarantee and admission depends on faculty capacity/funding",Preserved as prior context; current source-backed audit controls the recommendation.
University of Regina,Funding inquiry,No,Not selected for deep review,Removed from active portfolio,The independent universe/fit triage did not place this school above the final deep-review cutoff; this is not a claim that no relevant program exists.,Preserved as prior context; current source-backed audit controls the recommendation.
